t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,200,0,53,0.2095,1.0,0.0,1.0,1.0,1.0,0.2095,0.3464,0.5634,0.3697
0.01,5,194,2,51,0.2222,0.9623,0.0251,0.9623,0.9749,0.9623,0.2082,0.3423,0.5634,0.3697
0.02,26,174,4,48,0.2937,0.9231,0.13,0.9231,0.87,0.9231,0.2162,0.3504,0.5634,0.3697
0.03,57,143,11,41,0.3889,0.7885,0.285,0.7885,0.715,0.7885,0.2228,0.3475,0.5634,0.3697
0.04,81,119,14,39,0.4743,0.7358,0.405,0.7358,0.595,0.7358,0.2468,0.3697,0.5634,0.3697
0.05,91,108,19,34,0.496,0.6415,0.4573,0.6415,0.5427,0.6415,0.2394,0.3487,0.5634,0.3697
0.06,113,87,25,28,0.5573,0.5283,0.565,0.5283,0.435,0.5283,0.2435,0.3333,0.5634,0.3697
0.07,127,72,31,22,0.5913,0.4151,0.6382,0.4151,0.3618,0.4151,0.234,0.2993,0.5634,0.3697
0.08,143,57,33,20,0.6443,0.3774,0.715,0.3774,0.285,0.3774,0.2597,0.3077,0.5634,0.3697
0.09,159,40,36,16,0.6972,0.3077,0.799,0.3077,0.201,0.3077,0.2857,0.2963,0.5634,0.3697
0.1,168,32,46,7,0.6917,0.1321,0.84,0.1321,0.16,0.1321,0.1795,0.1522,0.5634,0.3697
0.11,178,21,47,5,0.7291,0.0962,0.8945,0.0962,0.1055,0.0962,0.1923,0.1282,0.5634,0.3697
0.12,187,13,48,4,0.7579,0.0769,0.935,0.0769,0.065,0.0769,0.2353,0.1159,0.5634,0.3697
0.13,195,4,48,4,0.7928,0.0769,0.9799,0.0769,0.0201,0.0769,0.5,0.1333,0.5634,0.3697
0.14,195,4,50,3,0.7857,0.0566,0.9799,0.0566,0.0201,0.0566,0.4286,0.1,0.5634,0.3697
0.15,196,3,51,2,0.7857,0.0377,0.9849,0.0377,0.0151,0.0377,0.4,0.069,0.5634,0.3697
0.16,199,1,51,2,0.7945,0.0377,0.995,0.0377,0.005,0.0377,0.6667,0.0714,0.5634,0.3697
0.17,199,1,51,2,0.7945,0.0377,0.995,0.0377,0.005,0.0377,0.6667,0.0714,0.5634,0.3697
0.18,199,1,51,2,0.7945,0.0377,0.995,0.0377,0.005,0.0377,0.6667,0.0714,0.5634,0.3697
0.19,199,1,51,2,0.7945,0.0377,0.995,0.0377,0.005,0.0377,0.6667,0.0714,0.5634,0.3697
0.2,200,0,51,2,0.7984,0.0377,1.0,0.0377,0.0,0.0377,1.0,0.0727,0.5634,0.3697
0.21,200,0,51,2,0.7984,0.0377,1.0,0.0377,0.0,0.0377,1.0,0.0727,0.5634,0.3697
0.22,200,0,52,1,0.7945,0.0189,1.0,0.0189,0.0,0.0189,1.0,0.037,0.5634,0.3697
0.23,200,0,52,1,0.7945,0.0189,1.0,0.0189,0.0,0.0189,1.0,0.037,0.5634,0.3697
0.24,200,0,52,1,0.7945,0.0189,1.0,0.0189,0.0,0.0189,1.0,0.037,0.5634,0.3697
0.25,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.26,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.27,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.28,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.29,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.3,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.31,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.32,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.33,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.34,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.35,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.36,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.37,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.38,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.39,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
0.4,200,0,53,0,0.7905,0.0,1.0,0.0,0.0,0.0,0.0,,0.5634,0.3697
