t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,249,0,4,0.0158,1.0,0.0,1.0,1.0,1.0,0.0158,0.0311,0.7593,0.1053
0.01,20,228,0,4,0.0952,1.0,0.0806,1.0,0.9194,1.0,0.0172,0.0339,0.7593,0.1053
0.02,77,171,0,4,0.3214,1.0,0.3105,1.0,0.6895,1.0,0.0229,0.0447,0.7593,0.1053
0.03,89,159,0,4,0.369,1.0,0.3589,1.0,0.6411,1.0,0.0245,0.0479,0.7593,0.1053
0.04,112,137,0,4,0.4585,1.0,0.4498,1.0,0.5502,1.0,0.0284,0.0552,0.7593,0.1053
0.05,127,121,0,4,0.5198,1.0,0.5121,1.0,0.4879,1.0,0.032,0.062,0.7593,0.1053
0.06,138,110,1,3,0.5595,0.75,0.5565,0.75,0.4435,0.75,0.0265,0.0513,0.7593,0.1053
0.07,153,95,1,3,0.619,0.75,0.6169,0.75,0.3831,0.75,0.0306,0.0588,0.7593,0.1053
0.08,165,83,1,3,0.6667,0.75,0.6653,0.75,0.3347,0.75,0.0349,0.0667,0.7593,0.1053
0.09,174,75,1,3,0.6996,0.75,0.6988,0.75,0.3012,0.75,0.0385,0.0732,0.7593,0.1053
0.1,183,65,2,2,0.7341,0.5,0.7379,0.5,0.2621,0.5,0.0299,0.0563,0.7593,0.1053
0.11,194,54,2,2,0.7778,0.5,0.7823,0.5,0.2177,0.5,0.0357,0.0667,0.7593,0.1053
0.12,205,44,2,2,0.8182,0.5,0.8233,0.5,0.1767,0.5,0.0435,0.08,0.7593,0.1053
0.13,209,39,3,1,0.8333,0.25,0.8427,0.25,0.1573,0.25,0.025,0.0455,0.7593,0.1053
0.14,214,34,3,1,0.8532,0.25,0.8629,0.25,0.1371,0.25,0.0286,0.0513,0.7593,0.1053
0.15,218,31,3,1,0.8656,0.25,0.8755,0.25,0.1245,0.25,0.0312,0.0556,0.7593,0.1053
0.16,220,28,3,1,0.877,0.25,0.8871,0.25,0.1129,0.25,0.0345,0.0606,0.7593,0.1053
0.17,221,27,3,1,0.881,0.25,0.8911,0.25,0.1089,0.25,0.0357,0.0625,0.7593,0.1053
0.18,221,27,3,1,0.881,0.25,0.8911,0.25,0.1089,0.25,0.0357,0.0625,0.7593,0.1053
0.19,221,27,3,1,0.881,0.25,0.8911,0.25,0.1089,0.25,0.0357,0.0625,0.7593,0.1053
0.2,224,25,3,1,0.8893,0.25,0.8996,0.25,0.1004,0.25,0.0385,0.0667,0.7593,0.1053
0.21,226,22,3,1,0.9008,0.25,0.9113,0.25,0.0887,0.25,0.0435,0.0741,0.7593,0.1053
0.22,228,20,3,1,0.9087,0.25,0.9194,0.25,0.0806,0.25,0.0476,0.08,0.7593,0.1053
0.23,230,19,3,1,0.913,0.25,0.9237,0.25,0.0763,0.25,0.05,0.0833,0.7593,0.1053
0.24,230,19,3,1,0.913,0.25,0.9237,0.25,0.0763,0.25,0.05,0.0833,0.7593,0.1053
0.25,231,17,3,1,0.9206,0.25,0.9315,0.25,0.0685,0.25,0.0556,0.0909,0.7593,0.1053
0.26,234,14,3,1,0.9325,0.25,0.9435,0.25,0.0565,0.25,0.0667,0.1053,0.7593,0.1053
0.27,238,10,4,0,0.9444,0.0,0.9597,0.0,0.0403,0.0,0.0,,0.7593,0.1053
0.28,242,7,4,0,0.9565,0.0,0.9719,0.0,0.0281,0.0,0.0,,0.7593,0.1053
0.29,242,7,4,0,0.9565,0.0,0.9719,0.0,0.0281,0.0,0.0,,0.7593,0.1053
0.3,244,4,4,0,0.9683,0.0,0.9839,0.0,0.0161,0.0,0.0,,0.7593,0.1053
0.31,244,4,4,0,0.9683,0.0,0.9839,0.0,0.0161,0.0,0.0,,0.7593,0.1053
