t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,199,0,54,0.2134,1.0,0.0,1.0,1.0,1.0,0.2134,0.3518,0.7401,0.5682
0.01,0,199,0,54,0.2134,1.0,0.0,1.0,1.0,1.0,0.2134,0.3518,0.7401,0.5682
0.02,0,199,0,54,0.2134,1.0,0.0,1.0,1.0,1.0,0.2134,0.3518,0.7401,0.5682
0.03,4,195,0,54,0.2292,1.0,0.0201,1.0,0.9799,1.0,0.2169,0.3564,0.7401,0.5682
0.04,9,190,1,52,0.2421,0.9811,0.0452,0.9811,0.9548,0.9811,0.2149,0.3525,0.7401,0.5682
0.05,107,92,2,51,0.627,0.9623,0.5377,0.9623,0.4623,0.9623,0.3566,0.5204,0.7401,0.5682
0.06,115,84,3,50,0.6548,0.9434,0.5779,0.9434,0.4221,0.9434,0.3731,0.5348,0.7401,0.5682
0.07,123,75,3,50,0.6892,0.9434,0.6212,0.9434,0.3788,0.9434,0.4,0.5618,0.7401,0.5682
0.08,126,73,3,50,0.6984,0.9434,0.6332,0.9434,0.3668,0.9434,0.4065,0.5682,0.7401,0.5682
0.09,127,72,4,49,0.6984,0.9245,0.6382,0.9245,0.3618,0.9245,0.405,0.5632,0.7401,0.5682
0.1,128,71,4,49,0.7024,0.9245,0.6432,0.9245,0.3568,0.9245,0.4083,0.5665,0.7401,0.5682
0.11,131,68,6,48,0.7075,0.8889,0.6583,0.8889,0.3417,0.8889,0.4138,0.5647,0.7401,0.5682
0.12,134,65,7,46,0.7143,0.8679,0.6734,0.8679,0.3266,0.8679,0.4144,0.561,0.7401,0.5682
0.13,136,63,9,44,0.7143,0.8302,0.6834,0.8302,0.3166,0.8302,0.4112,0.55,0.7401,0.5682
0.14,139,60,9,44,0.7262,0.8302,0.6985,0.8302,0.3015,0.8302,0.4231,0.5605,0.7401,0.5682
0.15,164,34,46,7,0.6813,0.1321,0.8283,0.1321,0.1717,0.1321,0.1707,0.1489,0.7401,0.5682
0.16,166,33,49,4,0.6746,0.0755,0.8342,0.0755,0.1658,0.0755,0.1081,0.0889,0.7401,0.5682
0.17,166,33,49,4,0.6746,0.0755,0.8342,0.0755,0.1658,0.0755,0.1081,0.0889,0.7401,0.5682
0.18,166,33,49,4,0.6746,0.0755,0.8342,0.0755,0.1658,0.0755,0.1081,0.0889,0.7401,0.5682
0.19,167,32,49,4,0.6786,0.0755,0.8392,0.0755,0.1608,0.0755,0.1111,0.0899,0.7401,0.5682
0.2,168,31,49,4,0.6825,0.0755,0.8442,0.0755,0.1558,0.0755,0.1143,0.0909,0.7401,0.5682
0.21,173,26,50,3,0.6984,0.0566,0.8693,0.0566,0.1307,0.0566,0.1034,0.0732,0.7401,0.5682
0.22,179,20,51,2,0.7183,0.0377,0.8995,0.0377,0.1005,0.0377,0.0909,0.0533,0.7401,0.5682
0.23,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.24,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.25,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.26,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.27,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.28,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.29,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.3,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.31,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.32,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.33,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.34,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.35,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.36,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.37,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.38,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.39,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.4,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.41,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.42,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.43,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.44,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.45,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.46,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.47,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.48,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.49,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.5,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.51,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.52,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.53,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
0.54,199,0,54,0,0.7866,0.0,1.0,0.0,0.0,0.0,0.0,,0.7401,0.5682
