t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,251,0,2,0.0079,1.0,0.0,1.0,1.0,1.0,0.0079,0.0157,0.836,0.0476
0.01,0,251,0,2,0.0079,1.0,0.0,1.0,1.0,1.0,0.0079,0.0157,0.836,0.0476
0.02,0,251,0,2,0.0079,1.0,0.0,1.0,1.0,1.0,0.0079,0.0157,0.836,0.0476
0.03,0,251,0,2,0.0079,1.0,0.0,1.0,1.0,1.0,0.0079,0.0157,0.836,0.0476
0.04,0,251,0,2,0.0079,1.0,0.0,1.0,1.0,1.0,0.0079,0.0157,0.836,0.0476
0.05,3,247,0,2,0.0198,1.0,0.012,1.0,0.988,1.0,0.008,0.0159,0.836,0.0476
0.06,21,229,0,2,0.0913,1.0,0.084,1.0,0.916,1.0,0.0087,0.0172,0.836,0.0476
0.07,91,160,0,2,0.3676,1.0,0.3625,1.0,0.6375,1.0,0.0123,0.0244,0.836,0.0476
0.08,95,156,0,2,0.3834,1.0,0.3785,1.0,0.6215,1.0,0.0127,0.025,0.836,0.0476
0.09,134,116,0,2,0.5397,1.0,0.536,1.0,0.464,1.0,0.0169,0.0333,0.836,0.0476
0.1,139,111,0,2,0.5595,1.0,0.556,1.0,0.444,1.0,0.0177,0.0348,0.836,0.0476
0.11,144,107,0,2,0.5771,1.0,0.5737,1.0,0.4263,1.0,0.0183,0.036,0.836,0.0476
0.12,151,99,0,2,0.6071,1.0,0.604,1.0,0.396,1.0,0.0198,0.0388,0.836,0.0476
0.13,155,96,0,2,0.6206,1.0,0.6175,1.0,0.3825,1.0,0.0204,0.04,0.836,0.0476
0.14,162,89,0,2,0.6482,1.0,0.6454,1.0,0.3546,1.0,0.022,0.043,0.836,0.0476
0.15,170,80,0,2,0.6825,1.0,0.68,1.0,0.32,1.0,0.0244,0.0476,0.836,0.0476
0.16,249,2,2,0,0.9842,0.0,0.992,0.0,0.008,0.0,0.0,,0.836,0.0476
0.17,249,2,2,0,0.9842,0.0,0.992,0.0,0.008,0.0,0.0,,0.836,0.0476
0.18,249,2,2,0,0.9842,0.0,0.992,0.0,0.008,0.0,0.0,,0.836,0.0476
0.19,249,2,2,0,0.9842,0.0,0.992,0.0,0.008,0.0,0.0,,0.836,0.0476
0.2,250,1,2,0,0.9881,0.0,0.996,0.0,0.004,0.0,0.0,,0.836,0.0476
0.21,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.22,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.23,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.24,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.25,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.26,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.27,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.28,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.29,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.3,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.31,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.32,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
0.33,251,0,2,0,0.9921,0.0,1.0,0.0,0.0,0.0,0.0,,0.836,0.0476
