t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,252,0,1,0.004,1.0,0.0,1.0,1.0,1.0,0.004,0.0079,0.256,0.0093
0.01,0,252,0,1,0.004,1.0,0.0,1.0,1.0,1.0,0.004,0.0079,0.256,0.0093
0.02,0,252,0,1,0.004,1.0,0.0,1.0,1.0,1.0,0.004,0.0079,0.256,0.0093
0.03,0,252,0,1,0.004,1.0,0.0,1.0,1.0,1.0,0.004,0.0079,0.256,0.0093
0.04,1,251,0,1,0.0079,1.0,0.004,1.0,0.996,1.0,0.004,0.0079,0.256,0.0093
0.05,39,213,0,1,0.1581,1.0,0.1548,1.0,0.8452,1.0,0.0047,0.0093,0.256,0.0093
0.06,90,162,1,0,0.3557,0.0,0.3571,0.0,0.6429,0.0,0.0,,0.256,0.0093
0.07,121,131,1,0,0.4783,0.0,0.4802,0.0,0.5198,0.0,0.0,,0.256,0.0093
0.08,199,52,1,0,0.7897,0.0,0.7928,0.0,0.2072,0.0,0.0,,0.256,0.0093
0.09,231,21,1,0,0.913,0.0,0.9167,0.0,0.0833,0.0,0.0,,0.256,0.0093
0.1,235,16,1,0,0.9325,0.0,0.9363,0.0,0.0637,0.0,0.0,,0.256,0.0093
0.11,243,9,1,0,0.9605,0.0,0.9643,0.0,0.0357,0.0,0.0,,0.256,0.0093
0.12,245,7,1,0,0.9684,0.0,0.9722,0.0,0.0278,0.0,0.0,,0.256,0.0093
0.13,246,6,1,0,0.9723,0.0,0.9762,0.0,0.0238,0.0,0.0,,0.256,0.0093
0.14,247,4,1,0,0.9802,0.0,0.9841,0.0,0.0159,0.0,0.0,,0.256,0.0093
0.15,249,3,1,0,0.9842,0.0,0.9881,0.0,0.0119,0.0,0.0,,0.256,0.0093
0.16,249,3,1,0,0.9842,0.0,0.9881,0.0,0.0119,0.0,0.0,,0.256,0.0093
0.17,250,2,1,0,0.9881,0.0,0.9921,0.0,0.0079,0.0,0.0,,0.256,0.0093
0.18,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.19,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.2,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.21,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.22,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.23,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.24,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.25,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.26,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.27,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.28,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.29,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.3,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.31,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.32,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.33,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.34,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.35,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.36,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.37,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.38,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.39,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.4,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.41,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.42,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.43,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.44,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
0.45,252,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.256,0.0093
