t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,207,0,45,0.1786,1.0,0.0,1.0,1.0,1.0,0.1786,0.303,0.7445,0.4545
0.01,19,187,1,43,0.248,0.9773,0.0922,0.9773,0.9078,0.9773,0.187,0.3139,0.7445,0.4545
0.02,21,185,1,43,0.256,0.9773,0.1019,0.9773,0.8981,0.9773,0.1886,0.3162,0.7445,0.4545
0.03,27,179,1,43,0.28,0.9773,0.1311,0.9773,0.8689,0.9773,0.1937,0.3233,0.7445,0.4545
0.04,33,173,1,43,0.304,0.9773,0.1602,0.9773,0.8398,0.9773,0.1991,0.3308,0.7445,0.4545
0.05,40,166,2,42,0.328,0.9545,0.1942,0.9545,0.8058,0.9545,0.2019,0.3333,0.7445,0.4545
0.06,46,160,2,42,0.352,0.9545,0.2233,0.9545,0.7767,0.9545,0.2079,0.3415,0.7445,0.4545
0.07,104,102,6,38,0.568,0.8636,0.5049,0.8636,0.4951,0.8636,0.2714,0.413,0.7445,0.4545
0.08,122,84,8,36,0.632,0.8182,0.5922,0.8182,0.4078,0.8182,0.3,0.439,0.7445,0.4545
0.09,131,75,9,35,0.664,0.7955,0.6359,0.7955,0.3641,0.7955,0.3182,0.4545,0.7445,0.4545
0.1,133,73,13,31,0.656,0.7045,0.6456,0.7045,0.3544,0.7045,0.2981,0.4189,0.7445,0.4545
0.11,139,67,16,28,0.668,0.6364,0.6748,0.6364,0.3252,0.6364,0.2947,0.4029,0.7445,0.4545
0.12,151,55,18,26,0.708,0.5909,0.733,0.5909,0.267,0.5909,0.321,0.416,0.7445,0.4545
0.13,156,50,20,24,0.72,0.5455,0.7573,0.5455,0.2427,0.5455,0.3243,0.4068,0.7445,0.4545
0.14,158,48,23,21,0.716,0.4773,0.767,0.4773,0.233,0.4773,0.3043,0.3717,0.7445,0.4545
0.15,164,42,23,21,0.74,0.4773,0.7961,0.4773,0.2039,0.4773,0.3333,0.3925,0.7445,0.4545
0.16,166,40,25,19,0.74,0.4318,0.8058,0.4318,0.1942,0.4318,0.322,0.3689,0.7445,0.4545
0.17,169,37,25,19,0.752,0.4318,0.8204,0.4318,0.1796,0.4318,0.3393,0.38,0.7445,0.4545
0.18,172,34,25,19,0.764,0.4318,0.835,0.4318,0.165,0.4318,0.3585,0.3918,0.7445,0.4545
0.19,173,33,25,19,0.768,0.4318,0.8398,0.4318,0.1602,0.4318,0.3654,0.3958,0.7445,0.4545
0.2,174,32,26,18,0.768,0.4091,0.8447,0.4091,0.1553,0.4091,0.36,0.383,0.7445,0.4545
0.21,175,31,26,18,0.772,0.4091,0.8495,0.4091,0.1505,0.4091,0.3673,0.3871,0.7445,0.4545
0.22,177,29,26,18,0.78,0.4091,0.8592,0.4091,0.1408,0.4091,0.383,0.3956,0.7445,0.4545
0.23,178,28,28,16,0.776,0.3636,0.8641,0.3636,0.1359,0.3636,0.3636,0.3636,0.7445,0.4545
0.24,179,27,28,16,0.78,0.3636,0.8689,0.3636,0.1311,0.3636,0.3721,0.3678,0.7445,0.4545
0.25,180,26,28,16,0.784,0.3636,0.8738,0.3636,0.1262,0.3636,0.381,0.3721,0.7445,0.4545
0.26,180,26,28,16,0.784,0.3636,0.8738,0.3636,0.1262,0.3636,0.381,0.3721,0.7445,0.4545
0.27,181,25,28,16,0.788,0.3636,0.8786,0.3636,0.1214,0.3636,0.3902,0.3765,0.7445,0.4545
0.28,183,23,28,16,0.796,0.3636,0.8883,0.3636,0.1117,0.3636,0.4103,0.3855,0.7445,0.4545
0.29,183,23,28,16,0.796,0.3636,0.8883,0.3636,0.1117,0.3636,0.4103,0.3855,0.7445,0.4545
0.3,183,23,29,15,0.792,0.3409,0.8883,0.3409,0.1117,0.3409,0.3947,0.3659,0.7445,0.4545
0.31,184,22,30,14,0.792,0.3182,0.8932,0.3182,0.1068,0.3182,0.3889,0.35,0.7445,0.4545
0.32,184,22,30,14,0.792,0.3182,0.8932,0.3182,0.1068,0.3182,0.3889,0.35,0.7445,0.4545
0.33,184,22,30,14,0.792,0.3182,0.8932,0.3182,0.1068,0.3182,0.3889,0.35,0.7445,0.4545
0.34,184,22,30,14,0.792,0.3182,0.8932,0.3182,0.1068,0.3182,0.3889,0.35,0.7445,0.4545
0.35,185,21,30,14,0.796,0.3182,0.8981,0.3182,0.1019,0.3182,0.4,0.3544,0.7445,0.4545
0.36,186,20,30,14,0.8,0.3182,0.9029,0.3182,0.0971,0.3182,0.4118,0.359,0.7445,0.4545
0.37,187,19,30,14,0.804,0.3182,0.9078,0.3182,0.0922,0.3182,0.4242,0.3636,0.7445,0.4545
0.38,190,16,30,14,0.816,0.3182,0.9223,0.3182,0.0777,0.3182,0.4667,0.3784,0.7445,0.4545
0.39,193,13,31,13,0.824,0.2955,0.9369,0.2955,0.0631,0.2955,0.5,0.3714,0.7445,0.4545
0.4,195,11,31,13,0.832,0.2955,0.9466,0.2955,0.0534,0.2955,0.5417,0.3824,0.7445,0.4545
0.41,196,10,32,12,0.832,0.2727,0.9515,0.2727,0.0485,0.2727,0.5455,0.3636,0.7445,0.4545
0.42,196,10,32,12,0.832,0.2727,0.9515,0.2727,0.0485,0.2727,0.5455,0.3636,0.7445,0.4545
0.43,196,10,32,12,0.832,0.2727,0.9515,0.2727,0.0485,0.2727,0.5455,0.3636,0.7445,0.4545
0.44,197,9,33,11,0.832,0.25,0.9563,0.25,0.0437,0.25,0.55,0.3438,0.7445,0.4545
0.45,197,9,33,11,0.832,0.25,0.9563,0.25,0.0437,0.25,0.55,0.3438,0.7445,0.4545
0.46,197,9,33,11,0.832,0.25,0.9563,0.25,0.0437,0.25,0.55,0.3438,0.7445,0.4545
0.47,199,7,33,11,0.84,0.25,0.966,0.25,0.034,0.25,0.6111,0.3548,0.7445,0.4545
0.48,200,6,34,10,0.84,0.2273,0.9709,0.2273,0.0291,0.2273,0.625,0.3333,0.7445,0.4545
0.49,200,6,34,10,0.84,0.2273,0.9709,0.2273,0.0291,0.2273,0.625,0.3333,0.7445,0.4545
0.5,200,6,34,10,0.84,0.2273,0.9709,0.2273,0.0291,0.2273,0.625,0.3333,0.7445,0.4545
0.51,200,6,34,10,0.84,0.2273,0.9709,0.2273,0.0291,0.2273,0.625,0.3333,0.7445,0.4545
0.52,201,5,34,10,0.844,0.2273,0.9757,0.2273,0.0243,0.2273,0.6667,0.339,0.7445,0.4545
0.53,202,4,34,10,0.848,0.2273,0.9806,0.2273,0.0194,0.2273,0.7143,0.3448,0.7445,0.4545
0.54,202,4,35,9,0.844,0.2045,0.9806,0.2045,0.0194,0.2045,0.6923,0.3158,0.7445,0.4545
0.55,202,4,36,8,0.84,0.1818,0.9806,0.1818,0.0194,0.1818,0.6667,0.2857,0.7445,0.4545
0.56,202,4,36,8,0.84,0.1818,0.9806,0.1818,0.0194,0.1818,0.6667,0.2857,0.7445,0.4545
0.57,202,4,36,8,0.84,0.1818,0.9806,0.1818,0.0194,0.1818,0.6667,0.2857,0.7445,0.4545
0.58,203,3,37,7,0.84,0.1591,0.9854,0.1591,0.0146,0.1591,0.7,0.2593,0.7445,0.4545
0.59,204,2,38,6,0.84,0.1364,0.9903,0.1364,0.0097,0.1364,0.75,0.2308,0.7445,0.4545
0.6,204,2,38,6,0.84,0.1364,0.9903,0.1364,0.0097,0.1364,0.75,0.2308,0.7445,0.4545
0.61,204,2,39,5,0.836,0.1136,0.9903,0.1136,0.0097,0.1136,0.7143,0.1961,0.7445,0.4545
0.62,204,2,40,4,0.832,0.0909,0.9903,0.0909,0.0097,0.0909,0.6667,0.16,0.7445,0.4545
0.63,204,2,41,3,0.828,0.0682,0.9903,0.0682,0.0097,0.0682,0.6,0.1224,0.7445,0.4545
0.64,205,1,41,3,0.832,0.0682,0.9951,0.0682,0.0049,0.0682,0.75,0.125,0.7445,0.4545
0.65,205,1,42,2,0.828,0.0455,0.9951,0.0455,0.0049,0.0455,0.6667,0.0851,0.7445,0.4545
0.66,205,1,42,2,0.828,0.0455,0.9951,0.0455,0.0049,0.0455,0.6667,0.0851,0.7445,0.4545
0.67,206,0,44,0,0.824,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.68,206,0,45,0,0.8207,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.69,206,0,45,0,0.8207,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.7,206,0,45,0,0.8207,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.71,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.72,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.73,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.74,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.75,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.76,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.77,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.78,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.79,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.8,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.81,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.82,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.83,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.84,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.85,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.86,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.87,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.88,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.89,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.9,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.91,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
0.92,207,0,45,0,0.8214,0.0,1.0,0.0,0.0,0.0,0.0,,0.7445,0.4545
