t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,211,0,41,0.1627,1.0,0.0,1.0,1.0,1.0,0.1627,0.2799,0.7202,0.4304
0.01,6,204,0,41,0.1873,1.0,0.0286,1.0,0.9714,1.0,0.1673,0.2867,0.7202,0.4304
0.02,25,185,0,40,0.26,1.0,0.119,1.0,0.881,1.0,0.1778,0.3019,0.7202,0.4304
0.03,73,137,2,38,0.444,0.95,0.3476,0.95,0.6524,0.95,0.2171,0.3535,0.7202,0.4304
0.04,88,122,3,37,0.5,0.925,0.419,0.925,0.581,0.925,0.2327,0.3719,0.7202,0.4304
0.05,93,117,3,37,0.52,0.925,0.4429,0.925,0.5571,0.925,0.2403,0.3814,0.7202,0.4304
0.06,100,110,3,37,0.548,0.925,0.4762,0.925,0.5238,0.925,0.2517,0.3957,0.7202,0.4304
0.07,101,109,3,37,0.552,0.925,0.481,0.925,0.519,0.925,0.2534,0.3978,0.7202,0.4304
0.08,108,102,5,35,0.572,0.875,0.5143,0.875,0.4857,0.875,0.2555,0.3955,0.7202,0.4304
0.09,114,96,6,34,0.592,0.85,0.5429,0.85,0.4571,0.85,0.2615,0.4,0.7202,0.4304
0.1,118,92,6,34,0.608,0.85,0.5619,0.85,0.4381,0.85,0.2698,0.4096,0.7202,0.4304
0.11,123,87,6,34,0.628,0.85,0.5857,0.85,0.4143,0.85,0.281,0.4224,0.7202,0.4304
0.12,126,84,6,34,0.64,0.85,0.6,0.85,0.4,0.85,0.2881,0.4304,0.7202,0.4304
0.13,127,83,7,33,0.64,0.825,0.6048,0.825,0.3952,0.825,0.2845,0.4231,0.7202,0.4304
0.14,128,82,7,33,0.644,0.825,0.6095,0.825,0.3905,0.825,0.287,0.4258,0.7202,0.4304
0.15,131,79,9,31,0.648,0.775,0.6238,0.775,0.3762,0.775,0.2818,0.4133,0.7202,0.4304
0.16,134,76,11,29,0.652,0.725,0.6381,0.725,0.3619,0.725,0.2762,0.4,0.7202,0.4304
0.17,134,76,11,29,0.652,0.725,0.6381,0.725,0.3619,0.725,0.2762,0.4,0.7202,0.4304
0.18,136,74,12,28,0.656,0.7,0.6476,0.7,0.3524,0.7,0.2745,0.3944,0.7202,0.4304
0.19,138,72,12,28,0.664,0.7,0.6571,0.7,0.3429,0.7,0.28,0.4,0.7202,0.4304
0.2,138,72,13,27,0.66,0.675,0.6571,0.675,0.3429,0.675,0.2727,0.3885,0.7202,0.4304
0.21,140,70,15,25,0.66,0.625,0.6667,0.625,0.3333,0.625,0.2632,0.3704,0.7202,0.4304
0.22,143,67,15,25,0.672,0.625,0.681,0.625,0.319,0.625,0.2717,0.3788,0.7202,0.4304
0.23,146,64,16,24,0.68,0.6,0.6952,0.6,0.3048,0.6,0.2727,0.375,0.7202,0.4304
0.24,148,62,16,24,0.688,0.6,0.7048,0.6,0.2952,0.6,0.2791,0.381,0.7202,0.4304
0.25,149,61,17,23,0.688,0.575,0.7095,0.575,0.2905,0.575,0.2738,0.371,0.7202,0.4304
0.26,152,58,17,23,0.7,0.575,0.7238,0.575,0.2762,0.575,0.284,0.3802,0.7202,0.4304
0.27,155,55,19,21,0.704,0.525,0.7381,0.525,0.2619,0.525,0.2763,0.3621,0.7202,0.4304
0.28,157,53,19,21,0.712,0.525,0.7476,0.525,0.2524,0.525,0.2838,0.3684,0.7202,0.4304
0.29,157,53,19,21,0.712,0.525,0.7476,0.525,0.2524,0.525,0.2838,0.3684,0.7202,0.4304
0.3,161,49,20,20,0.724,0.5,0.7667,0.5,0.2333,0.5,0.2899,0.367,0.7202,0.4304
0.31,161,49,20,20,0.724,0.5,0.7667,0.5,0.2333,0.5,0.2899,0.367,0.7202,0.4304
0.32,162,48,21,19,0.724,0.475,0.7714,0.475,0.2286,0.475,0.2836,0.3551,0.7202,0.4304
0.33,164,46,21,19,0.732,0.475,0.781,0.475,0.219,0.475,0.2923,0.3619,0.7202,0.4304
0.34,167,43,22,18,0.74,0.45,0.7952,0.45,0.2048,0.45,0.2951,0.3564,0.7202,0.4304
0.35,169,41,23,17,0.744,0.425,0.8048,0.425,0.1952,0.425,0.2931,0.3469,0.7202,0.4304
0.36,169,41,26,14,0.732,0.35,0.8048,0.35,0.1952,0.35,0.2545,0.2947,0.7202,0.4304
0.37,172,38,28,12,0.736,0.3,0.819,0.3,0.181,0.3,0.24,0.2667,0.7202,0.4304
