t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,201,0,50,0.1992,1.0,0.0,1.0,1.0,1.0,0.1992,0.3322,0.7942,0.5682
0.01,0,201,0,50,0.1992,1.0,0.0,1.0,1.0,1.0,0.1992,0.3322,0.7942,0.5682
0.02,15,185,2,47,0.249,0.9592,0.075,0.9592,0.925,0.9592,0.2026,0.3345,0.7942,0.5682
0.03,50,150,3,46,0.3855,0.9388,0.25,0.9388,0.75,0.9388,0.2347,0.3755,0.7942,0.5682
0.04,75,125,4,45,0.4819,0.9184,0.375,0.9184,0.625,0.9184,0.2647,0.411,0.7942,0.5682
0.05,94,106,5,44,0.5542,0.898,0.47,0.898,0.53,0.898,0.2933,0.4422,0.7942,0.5682
0.06,107,93,9,40,0.5904,0.8163,0.535,0.8163,0.465,0.8163,0.3008,0.4396,0.7942,0.5682
0.07,118,82,10,39,0.6305,0.7959,0.59,0.7959,0.41,0.7959,0.3223,0.4588,0.7942,0.5682
0.08,125,75,10,39,0.6586,0.7959,0.625,0.7959,0.375,0.7959,0.3421,0.4785,0.7942,0.5682
0.09,129,71,10,39,0.6747,0.7959,0.645,0.7959,0.355,0.7959,0.3545,0.4906,0.7942,0.5682
0.1,134,66,11,38,0.6908,0.7755,0.67,0.7755,0.33,0.7755,0.3654,0.4967,0.7942,0.5682
0.11,136,64,11,38,0.6988,0.7755,0.68,0.7755,0.32,0.7755,0.3725,0.5033,0.7942,0.5682
0.12,136,64,11,38,0.6988,0.7755,0.68,0.7755,0.32,0.7755,0.3725,0.5033,0.7942,0.5682
0.13,136,64,11,38,0.6988,0.7755,0.68,0.7755,0.32,0.7755,0.3725,0.5033,0.7942,0.5682
0.14,138,62,11,38,0.7068,0.7755,0.69,0.7755,0.31,0.7755,0.38,0.5101,0.7942,0.5682
0.15,139,61,11,38,0.7108,0.7755,0.695,0.7755,0.305,0.7755,0.3838,0.5135,0.7942,0.5682
0.16,143,57,12,37,0.7229,0.7551,0.715,0.7551,0.285,0.7551,0.3936,0.5175,0.7942,0.5682
0.17,144,56,14,35,0.7189,0.7143,0.72,0.7143,0.28,0.7143,0.3846,0.5,0.7942,0.5682
0.18,150,50,16,33,0.7349,0.6735,0.75,0.6735,0.25,0.6735,0.3976,0.5,0.7942,0.5682
0.19,153,47,18,31,0.739,0.6327,0.765,0.6327,0.235,0.6327,0.3974,0.4882,0.7942,0.5682
0.2,156,44,18,31,0.751,0.6327,0.78,0.6327,0.22,0.6327,0.4133,0.5,0.7942,0.5682
0.21,159,41,18,31,0.7631,0.6327,0.795,0.6327,0.205,0.6327,0.4306,0.5124,0.7942,0.5682
0.22,162,38,19,30,0.7711,0.6122,0.81,0.6122,0.19,0.6122,0.4412,0.5128,0.7942,0.5682
0.23,166,34,19,30,0.7871,0.6122,0.83,0.6122,0.17,0.6122,0.4688,0.531,0.7942,0.5682
