t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,251,0,1,0.004,1.0,0.0,1.0,1.0,1.0,0.004,0.0079,0.7769,0.0333
0.01,1,250,0,1,0.0079,1.0,0.004,1.0,0.996,1.0,0.004,0.0079,0.7769,0.0333
0.02,34,217,0,1,0.1389,1.0,0.1355,1.0,0.8645,1.0,0.0046,0.0091,0.7769,0.0333
0.03,65,186,0,1,0.2619,1.0,0.259,1.0,0.741,1.0,0.0053,0.0106,0.7769,0.0333
0.04,102,148,0,1,0.4104,1.0,0.408,1.0,0.592,1.0,0.0067,0.0133,0.7769,0.0333
0.05,132,119,0,1,0.5278,1.0,0.5259,1.0,0.4741,1.0,0.0083,0.0165,0.7769,0.0333
0.06,145,106,0,1,0.5794,1.0,0.5777,1.0,0.4223,1.0,0.0093,0.0185,0.7769,0.0333
0.07,156,95,0,1,0.623,1.0,0.6215,1.0,0.3785,1.0,0.0104,0.0206,0.7769,0.0333
0.08,173,78,0,1,0.6905,1.0,0.6892,1.0,0.3108,1.0,0.0127,0.025,0.7769,0.0333
0.09,179,71,0,1,0.7171,1.0,0.716,1.0,0.284,1.0,0.0139,0.0274,0.7769,0.0333
0.1,193,58,0,1,0.7698,1.0,0.7689,1.0,0.2311,1.0,0.0169,0.0333,0.7769,0.0333
0.11,197,54,1,0,0.7817,0.0,0.7849,0.0,0.2151,0.0,0.0,,0.7769,0.0333
0.12,203,48,1,0,0.8056,0.0,0.8088,0.0,0.1912,0.0,0.0,,0.7769,0.0333
0.13,209,42,1,0,0.8294,0.0,0.8327,0.0,0.1673,0.0,0.0,,0.7769,0.0333
0.14,210,40,1,0,0.8367,0.0,0.84,0.0,0.16,0.0,0.0,,0.7769,0.0333
0.15,214,37,1,0,0.8492,0.0,0.8526,0.0,0.1474,0.0,0.0,,0.7769,0.0333
0.16,217,34,1,0,0.8611,0.0,0.8645,0.0,0.1355,0.0,0.0,,0.7769,0.0333
0.17,219,32,1,0,0.869,0.0,0.8725,0.0,0.1275,0.0,0.0,,0.7769,0.0333
0.18,219,32,1,0,0.869,0.0,0.8725,0.0,0.1275,0.0,0.0,,0.7769,0.0333
0.19,224,27,1,0,0.8889,0.0,0.8924,0.0,0.1076,0.0,0.0,,0.7769,0.0333
0.2,226,24,1,0,0.9004,0.0,0.904,0.0,0.096,0.0,0.0,,0.7769,0.0333
0.21,228,23,1,0,0.9048,0.0,0.9084,0.0,0.0916,0.0,0.0,,0.7769,0.0333
0.22,231,19,1,0,0.9203,0.0,0.924,0.0,0.076,0.0,0.0,,0.7769,0.0333
0.23,233,18,1,0,0.9246,0.0,0.9283,0.0,0.0717,0.0,0.0,,0.7769,0.0333
0.24,235,16,1,0,0.9325,0.0,0.9363,0.0,0.0637,0.0,0.0,,0.7769,0.0333
0.25,235,16,1,0,0.9325,0.0,0.9363,0.0,0.0637,0.0,0.0,,0.7769,0.0333
0.26,236,14,1,0,0.9402,0.0,0.944,0.0,0.056,0.0,0.0,,0.7769,0.0333
0.27,238,13,1,0,0.9444,0.0,0.9482,0.0,0.0518,0.0,0.0,,0.7769,0.0333
0.28,239,12,1,0,0.9484,0.0,0.9522,0.0,0.0478,0.0,0.0,,0.7769,0.0333
0.29,239,12,1,0,0.9484,0.0,0.9522,0.0,0.0478,0.0,0.0,,0.7769,0.0333
0.3,240,11,1,0,0.9524,0.0,0.9562,0.0,0.0438,0.0,0.0,,0.7769,0.0333
0.31,241,9,1,0,0.9602,0.0,0.964,0.0,0.036,0.0,0.0,,0.7769,0.0333
0.32,241,9,1,0,0.9602,0.0,0.964,0.0,0.036,0.0,0.0,,0.7769,0.0333
0.33,244,7,1,0,0.9683,0.0,0.9721,0.0,0.0279,0.0,0.0,,0.7769,0.0333
0.34,245,6,1,0,0.9722,0.0,0.9761,0.0,0.0239,0.0,0.0,,0.7769,0.0333
0.35,245,6,1,0,0.9722,0.0,0.9761,0.0,0.0239,0.0,0.0,,0.7769,0.0333
0.36,245,6,1,0,0.9722,0.0,0.9761,0.0,0.0239,0.0,0.0,,0.7769,0.0333
