t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,223,0,29,0.1151,1.0,0.0,1.0,1.0,1.0,0.1151,0.2064,0.8743,0.4602
0.01,2,220,0,29,0.1235,1.0,0.009,1.0,0.991,1.0,0.1165,0.2086,0.8743,0.4602
0.02,60,162,0,29,0.3546,1.0,0.2703,1.0,0.7297,1.0,0.1518,0.2636,0.8743,0.4602
0.03,120,102,0,29,0.5936,1.0,0.5405,1.0,0.4595,1.0,0.2214,0.3625,0.8743,0.4602
0.04,145,78,1,28,0.6865,0.9655,0.6502,0.9655,0.3498,0.9655,0.2642,0.4148,0.8743,0.4602
0.05,164,58,3,26,0.757,0.8966,0.7387,0.8966,0.2613,0.8966,0.3095,0.4602,0.8743,0.4602
0.06,182,40,9,19,0.804,0.6786,0.8198,0.6786,0.1802,0.6786,0.322,0.4368,0.8743,0.4602
0.07,190,32,13,16,0.8207,0.5517,0.8559,0.5517,0.1441,0.5517,0.3333,0.4156,0.8743,0.4602
0.08,197,26,14,14,0.8406,0.5,0.8834,0.5,0.1166,0.5,0.35,0.4118,0.8743,0.4602
0.09,203,19,16,13,0.8606,0.4483,0.9144,0.4483,0.0856,0.4483,0.4062,0.4262,0.8743,0.4602
0.1,205,17,16,13,0.8685,0.4483,0.9234,0.4483,0.0766,0.4483,0.4333,0.4407,0.8743,0.4602
0.11,207,16,17,12,0.869,0.4138,0.9283,0.4138,0.0717,0.4138,0.4286,0.4211,0.8743,0.4602
0.12,208,14,18,11,0.8725,0.3793,0.9369,0.3793,0.0631,0.3793,0.44,0.4074,0.8743,0.4602
0.13,210,12,18,11,0.8805,0.3793,0.9459,0.3793,0.0541,0.3793,0.4783,0.4231,0.8743,0.4602
0.14,212,11,18,11,0.8849,0.3793,0.9507,0.3793,0.0493,0.3793,0.5,0.4314,0.8743,0.4602
0.15,213,9,19,9,0.888,0.3214,0.9595,0.3214,0.0405,0.3214,0.5,0.3913,0.8743,0.4602
0.16,215,7,21,8,0.8884,0.2759,0.9685,0.2759,0.0315,0.2759,0.5333,0.3636,0.8743,0.4602
0.17,218,4,22,7,0.8964,0.2414,0.982,0.2414,0.018,0.2414,0.6364,0.35,0.8743,0.4602
0.18,218,4,22,7,0.8964,0.2414,0.982,0.2414,0.018,0.2414,0.6364,0.35,0.8743,0.4602
0.19,218,4,22,7,0.8964,0.2414,0.982,0.2414,0.018,0.2414,0.6364,0.35,0.8743,0.4602
0.2,219,3,22,7,0.9004,0.2414,0.9865,0.2414,0.0135,0.2414,0.7,0.359,0.8743,0.4602
0.21,221,1,22,7,0.9084,0.2414,0.9955,0.2414,0.0045,0.2414,0.875,0.3784,0.8743,0.4602
0.22,223,0,22,7,0.9127,0.2414,1.0,0.2414,0.0,0.2414,1.0,0.3889,0.8743,0.4602
0.23,223,0,24,4,0.9044,0.1429,1.0,0.1429,0.0,0.1429,1.0,0.25,0.8743,0.4602
0.24,223,0,24,4,0.9044,0.1429,1.0,0.1429,0.0,0.1429,1.0,0.25,0.8743,0.4602
0.25,223,0,24,4,0.9044,0.1429,1.0,0.1429,0.0,0.1429,1.0,0.25,0.8743,0.4602
0.26,223,0,26,3,0.8968,0.1034,1.0,0.1034,0.0,0.1034,1.0,0.1875,0.8743,0.4602
