,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281777,0.11416814,0.016987825,0.020115938,0.0069291447,0.38943633,0.11279183,0.012959505,0.014837271,0.25683436,0.054939702
ERR4281778,0.100366205,0.1453793,0.44670773,0.060136724,0.07167528,0.022861032,0.052517515,0.026658952,0.0305856,0.043111652
ERR4281779,0.09855808,0.16413635,0.39367148,0.06821444,0.0840855,0.030697623,0.06444405,0.02729397,0.025727978,0.043170523
ERR4281780,0.16248144,0.18788691,0.016325416,0.4464802,0.008269417,0.02484812,0.039837755,0.079702534,0.007509956,0.026658047
ERR4281781,0.065816164,0.49415034,0.012238966,0.20443413,0.0168843,0.10375088,0.050932426,0.027596932,0.010260576,0.013935352
ERR4281782,0.13093115,0.40744153,0.0272812,0.12286267,0.040696252,0.16833268,0.032578308,0.034501307,0.012619118,0.022755764
ERR4281783,0.022075431,0.029697625,0.026209574,0.18965955,0.026882894,0.13121459,0.28277323,0.2505295,0.0058812993,0.035076316
ERR4281784,0.20963213,0.041623723,0.0124001745,0.01059125,0.3159056,0.1798164,0.0172586,0.015968772,0.1127033,0.08410007
ERR4281785,0.17324871,0.090794265,0.2535681,0.030228674,0.1267837,0.027786978,0.016125765,0.028114647,0.18526864,0.06808053
ERR4281786,0.10620732,0.45681486,0.14352868,0.11937524,0.01817414,0.020415286,0.06469727,0.037910804,0.012217726,0.020658726
ERR4281787,0.22337931,0.4102263,0.05445358,0.08273464,0.04629585,0.024407253,0.093401395,0.031921394,0.013461768,0.01971858
ERR4281788,0.068133585,0.072237946,0.20264846,0.10862288,0.064953744,0.05598766,0.1989766,0.14722522,0.030914074,0.05029982
ERR4281789,0.05199276,0.022947676,0.021303464,0.012901444,0.38498715,0.21579033,0.018860431,0.0075171366,0.17509931,0.088600256
ERR4281790,0.06692819,0.118802235,0.108350135,0.2970046,0.036535386,0.07912386,0.10527406,0.13666229,0.015527371,0.035791896
ERR4281791,0.3019502,0.2851307,0.02599652,0.07066136,0.081614554,0.09397359,0.05165583,0.052867066,0.014653416,0.021496784
ERR4281792,0.11869121,0.44013935,0.02008956,0.20871998,0.020010797,0.10007018,0.033718415,0.035897218,0.0070736487,0.015589595
ERR4281793,0.11321717,0.29707962,0.058298398,0.24640995,0.018083254,0.036667377,0.111097515,0.09375186,0.008600406,0.016794445
ERR4281794,0.074694134,0.27182525,0.036406722,0.19755062,0.036477514,0.15791823,0.090196356,0.05222034,0.01763801,0.06507289
ERR4281795,0.02416787,0.08705415,0.015423154,0.046800233,0.108784154,0.5901056,0.039082833,0.020245213,0.028267743,0.04006906
ERR4281796,0.026699448,0.013165201,0.0515336,0.03437174,0.09547259,0.042331118,0.49522597,0.18878783,0.021466272,0.030946229
ERR4281797,0.03592896,0.022918677,0.0336046,0.11713092,0.10417114,0.28216782,0.18047497,0.098477855,0.029029146,0.096095875
ERR4281798,0.08556275,0.059133723,0.105502136,0.20936987,0.043507673,0.056224234,0.18671952,0.1982785,0.017329328,0.03837219
ERR4281799,0.28866053,0.08339563,0.1085328,0.035523158,0.22673365,0.0908361,0.018995047,0.032786615,0.06590334,0.048633106
