t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,209,0,42,0.1673,1.0,0.0,1.0,1.0,1.0,0.1673,0.2867,0.6211,0.346
0.01,0,209,0,42,0.1673,1.0,0.0,1.0,1.0,1.0,0.1673,0.2867,0.6211,0.346
0.02,0,209,0,42,0.1673,1.0,0.0,1.0,1.0,1.0,0.1673,0.2867,0.6211,0.346
0.03,0,209,0,42,0.1673,1.0,0.0,1.0,1.0,1.0,0.1673,0.2867,0.6211,0.346
0.04,0,209,0,42,0.1673,1.0,0.0,1.0,1.0,1.0,0.1673,0.2867,0.6211,0.346
0.05,0,209,0,42,0.1673,1.0,0.0,1.0,1.0,1.0,0.1673,0.2867,0.6211,0.346
0.06,0,209,0,42,0.1673,1.0,0.0,1.0,1.0,1.0,0.1673,0.2867,0.6211,0.346
0.07,0,208,0,42,0.168,1.0,0.0,1.0,1.0,1.0,0.168,0.2877,0.6211,0.346
0.08,28,180,0,42,0.28,1.0,0.1346,1.0,0.8654,1.0,0.1892,0.3182,0.6211,0.346
0.09,35,173,0,42,0.308,1.0,0.1683,1.0,0.8317,1.0,0.1953,0.3268,0.6211,0.346
0.1,42,166,0,41,0.3333,1.0,0.2019,1.0,0.7981,1.0,0.1981,0.3306,0.6211,0.346
0.11,50,158,0,41,0.3655,1.0,0.2404,1.0,0.7596,1.0,0.206,0.3417,0.6211,0.346
0.12,52,156,0,41,0.3735,1.0,0.25,1.0,0.75,1.0,0.2081,0.3445,0.6211,0.346
0.13,53,155,0,41,0.3775,1.0,0.2548,1.0,0.7452,1.0,0.2092,0.346,0.6211,0.346
0.14,60,148,2,39,0.3976,0.9512,0.2885,0.9512,0.7115,0.9512,0.2086,0.3421,0.6211,0.346
0.15,61,147,2,39,0.4016,0.9512,0.2933,0.9512,0.7067,0.9512,0.2097,0.3436,0.6211,0.346
0.16,65,143,3,38,0.4137,0.9268,0.3125,0.9268,0.6875,0.9268,0.2099,0.3423,0.6211,0.346
0.17,98,110,17,24,0.49,0.5854,0.4712,0.5854,0.5288,0.5854,0.1791,0.2743,0.6211,0.346
0.18,104,104,20,21,0.502,0.5122,0.5,0.5122,0.5,0.5122,0.168,0.253,0.6211,0.346
0.19,118,90,21,20,0.5542,0.4878,0.5673,0.4878,0.4327,0.4878,0.1818,0.2649,0.6211,0.346
0.2,137,71,23,18,0.6225,0.439,0.6587,0.439,0.3413,0.439,0.2022,0.2769,0.6211,0.346
0.21,150,58,25,16,0.6667,0.3902,0.7212,0.3902,0.2788,0.3902,0.2162,0.2783,0.6211,0.346
0.22,166,42,27,14,0.7229,0.3415,0.7981,0.3415,0.2019,0.3415,0.25,0.2887,0.6211,0.346
0.23,178,30,28,13,0.7671,0.3171,0.8558,0.3171,0.1442,0.3171,0.3023,0.3095,0.6211,0.346
0.24,189,19,31,10,0.7992,0.2439,0.9087,0.2439,0.0913,0.2439,0.3448,0.2857,0.6211,0.346
0.25,196,12,32,9,0.8233,0.2195,0.9423,0.2195,0.0577,0.2195,0.4286,0.2903,0.6211,0.346
0.26,199,9,36,5,0.8193,0.122,0.9567,0.122,0.0433,0.122,0.3571,0.1818,0.6211,0.346
0.27,200,8,38,3,0.8153,0.0732,0.9615,0.0732,0.0385,0.0732,0.2727,0.1154,0.6211,0.346
0.28,200,8,39,2,0.8112,0.0488,0.9615,0.0488,0.0385,0.0488,0.2,0.0784,0.6211,0.346
0.29,200,8,39,2,0.8112,0.0488,0.9615,0.0488,0.0385,0.0488,0.2,0.0784,0.6211,0.346
0.3,200,8,39,2,0.8112,0.0488,0.9615,0.0488,0.0385,0.0488,0.2,0.0784,0.6211,0.346
0.31,200,8,39,2,0.8112,0.0488,0.9615,0.0488,0.0385,0.0488,0.2,0.0784,0.6211,0.346
0.32,200,8,40,1,0.8072,0.0244,0.9615,0.0244,0.0385,0.0244,0.1111,0.04,0.6211,0.346
0.33,200,8,40,1,0.8072,0.0244,0.9615,0.0244,0.0385,0.0244,0.1111,0.04,0.6211,0.346
0.34,201,7,40,1,0.8112,0.0244,0.9663,0.0244,0.0337,0.0244,0.125,0.0408,0.6211,0.346
0.35,202,6,40,1,0.8153,0.0244,0.9712,0.0244,0.0288,0.0244,0.1429,0.0417,0.6211,0.346
0.36,205,3,42,0,0.82,0.0,0.9856,0.0,0.0144,0.0,0.0,,0.6211,0.346
0.37,206,2,42,0,0.824,0.0,0.9904,0.0,0.0096,0.0,0.0,,0.6211,0.346
0.38,206,2,42,0,0.824,0.0,0.9904,0.0,0.0096,0.0,0.0,,0.6211,0.346
0.39,207,1,42,0,0.828,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.6211,0.346
0.4,207,1,42,0,0.828,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.6211,0.346
0.41,207,1,42,0,0.828,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.6211,0.346
0.42,208,0,42,0,0.832,0.0,1.0,0.0,0.0,0.0,0.0,,0.6211,0.346
0.43,208,0,42,0,0.832,0.0,1.0,0.0,0.0,0.0,0.0,,0.6211,0.346
0.44,209,0,42,0,0.8327,0.0,1.0,0.0,0.0,0.0,0.0,,0.6211,0.346
