t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,251,0,1,0.004,1.0,0.0,1.0,1.0,1.0,0.004,0.0079,0.6042,0.0117
0.01,0,251,0,1,0.004,1.0,0.0,1.0,1.0,1.0,0.004,0.0079,0.6042,0.0117
0.02,1,250,0,1,0.0079,1.0,0.004,1.0,0.996,1.0,0.004,0.0079,0.6042,0.0117
0.03,1,250,0,1,0.0079,1.0,0.004,1.0,0.996,1.0,0.004,0.0079,0.6042,0.0117
0.04,4,247,0,1,0.0198,1.0,0.0159,1.0,0.9841,1.0,0.004,0.008,0.6042,0.0117
0.05,5,245,0,1,0.0239,1.0,0.02,1.0,0.98,1.0,0.0041,0.0081,0.6042,0.0117
0.06,26,225,0,1,0.1071,1.0,0.1036,1.0,0.8964,1.0,0.0044,0.0088,0.6042,0.0117
0.07,65,186,0,1,0.2619,1.0,0.259,1.0,0.741,1.0,0.0053,0.0106,0.6042,0.0117
0.08,71,180,0,1,0.2857,1.0,0.2829,1.0,0.7171,1.0,0.0055,0.011,0.6042,0.0117
0.09,73,178,0,1,0.2937,1.0,0.2908,1.0,0.7092,1.0,0.0056,0.0111,0.6042,0.0117
0.1,81,169,0,1,0.3267,1.0,0.324,1.0,0.676,1.0,0.0059,0.0117,0.6042,0.0117
0.11,222,29,1,0,0.881,0.0,0.8845,0.0,0.1155,0.0,0.0,,0.6042,0.0117
0.12,241,10,1,0,0.9563,0.0,0.9602,0.0,0.0398,0.0,0.0,,0.6042,0.0117
0.13,244,7,1,0,0.9683,0.0,0.9721,0.0,0.0279,0.0,0.0,,0.6042,0.0117
0.14,248,3,1,0,0.9841,0.0,0.988,0.0,0.012,0.0,0.0,,0.6042,0.0117
0.15,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.16,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.17,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.18,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.19,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.2,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.21,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.22,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.23,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.24,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.25,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.26,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.27,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.28,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.29,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.3,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.31,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.32,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.33,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.34,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.35,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.36,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.37,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.38,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.39,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.4,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.41,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.42,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.43,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.44,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.45,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.46,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.47,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.48,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.49,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.5,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.51,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.52,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.53,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.54,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.55,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.56,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.57,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.58,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.59,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.6,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.61,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.62,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.63,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.64,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.65,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.66,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.67,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.68,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.69,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.7,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.71,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.72,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.73,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.74,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.75,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.76,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.77,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.78,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.79,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.8,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.81,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.82,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.83,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.84,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.85,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.86,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.87,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.88,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.89,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.9,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.91,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.92,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.93,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.94,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.95,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.96,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.97,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.98,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
0.99,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
1.0,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
1.01,251,0,1,0,0.996,0.0,1.0,0.0,0.0,0.0,0.0,,0.6042,0.0117
