,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.0988,1.0,0.0,1.0,1.0,1.0,0.0988,0.1649,0.4039,0.7306
1,0.1591,0.9983,0.0649,0.9983,0.9351,0.9983,0.1026,0.17,0.4039,0.7306
2,0.3066,0.995,0.2311,0.995,0.7689,0.995,0.1215,0.1944,0.4039,0.7306
3,0.4274,0.9783,0.3704,0.9783,0.6296,0.9783,0.1417,0.2194,0.4039,0.7306
4,0.5079,0.9709,0.4635,0.9709,0.5365,0.9709,0.1656,0.2474,0.4039,0.7306
5,0.5596,0.8505,0.5248,0.8505,0.4752,0.8505,0.177,,0.4039,0.7306
6,0.6187,0.7358,0.5912,0.7358,0.4088,0.7358,0.19,,0.4039,0.7306
7,0.6586,0.6101,0.6391,0.6101,0.3609,0.6101,0.1932,,0.4039,0.7306
8,0.7015,0.6012,0.6865,0.6012,0.3135,0.6012,0.204,,0.4039,0.7306
9,0.742,0.5906,0.7313,0.5906,0.2687,0.5906,0.2137,,0.4039,0.7306
10,0.7716,0.5769,0.7645,0.5769,0.2355,0.5769,0.2156,,0.4039,0.7306
11,0.7908,0.5698,0.7866,0.5698,0.2134,0.5698,0.2295,,0.4039,0.7306
12,0.8082,0.5518,0.8087,0.5518,0.1913,0.5518,0.2274,,0.4039,0.7306
13,0.8223,0.5401,0.8265,0.5401,0.1735,0.5401,0.2291,,0.4039,0.7306
14,0.834,0.5341,0.8406,0.5341,0.1594,0.5341,0.2421,,0.4039,0.7306
15,0.8434,0.5227,0.8538,0.5227,0.1462,0.5227,0.2412,,0.4039,0.7306
16,0.8506,0.5084,0.8649,0.5084,0.1351,0.5084,0.2409,,0.4039,0.7306
17,0.8548,0.4987,0.8716,0.4987,0.1284,0.4987,0.2295,,0.4039,0.7306
18,0.8552,0.4881,0.8748,0.4881,0.1252,0.4881,0.2273,,0.4039,0.7306
19,0.8641,0.4752,0.8873,0.4752,0.1128,0.4752,0.2059,,0.4039,0.7306
20,0.8698,0.4735,0.894,0.4735,0.1061,0.4735,0.21,,0.4039,0.7306
21,0.8706,0.4656,0.8968,0.4656,0.1032,0.4656,0.2102,,0.4039,0.7306
22,0.8717,0.4482,0.9019,0.4482,0.0981,0.4482,0.2082,,0.4039,0.7306
23,0.8772,0.4441,0.909,0.4441,0.091,0.4441,0.2143,,0.4039,0.7306
24,0.8773,0.4316,0.9124,0.4316,0.0876,0.4316,0.2135,,0.4039,0.7306
25,0.8799,0.4255,0.917,0.4255,0.083,0.4255,0.2169,,0.4039,0.7306
26,0.8835,0.42,0.9225,0.42,0.0775,0.42,0.2194,,0.4039,0.7306
27,0.8854,0.4154,0.9255,0.4154,0.0745,0.4154,0.2189,,0.4039,0.7306
28,0.8866,0.4033,0.9295,0.4033,0.0705,0.4033,0.2173,,0.4039,0.7306
29,0.8866,0.4033,0.9295,0.4033,0.0705,0.4033,0.2173,,0.4039,0.7306
30,0.891,0.3871,0.9386,0.3871,0.0614,0.3871,0.2227,,0.4039,0.7306
31,0.8915,0.2727,0.9435,0.2727,0.0565,0.2727,0.2166,,0.4039,0.7306
32,0.8926,0.2662,0.9463,0.2662,0.0537,0.2662,0.2182,,0.4039,0.7306
33,0.8937,0.2431,0.9525,0.2431,0.0475,0.2431,0.2129,,0.4039,0.7306
34,0.896,0.2348,0.9572,0.2348,0.0427,0.2348,0.2158,,0.4039,0.7306
35,0.8962,0.2204,0.9613,0.2204,0.0387,0.2204,0.2202,,0.4039,0.7306
36,0.8977,0.2113,0.9658,0.2113,0.0342,0.2113,0.234,,0.4039,0.7306
37,0.8997,0.2035,0.9697,0.2035,0.0303,0.2035,0.2371,,0.4039,0.7306
38,0.9,0.1915,0.9731,0.1915,0.0269,0.1915,0.2404,,0.4039,0.7306
39,0.9013,0.1872,0.9761,0.1872,0.0239,0.1872,0.2516,,0.4039,0.7306
40,0.9022,0.1809,0.9786,0.1809,0.0215,0.1809,0.2422,,0.4039,0.7306
41,0.9026,0.1776,0.98,0.1776,0.02,0.1776,0.243,,0.4039,0.7306
42,0.9021,0.1708,0.981,0.1708,0.019,0.1708,0.2607,,0.4039,0.7306
43,0.9034,0.1648,0.9842,0.1648,0.0158,0.1648,0.2687,,0.4039,0.7306
44,0.9034,0.1632,0.9847,0.1632,0.0153,0.1632,0.2704,,0.4039,0.7306
45,0.9045,0.1592,0.9877,0.1592,0.0123,0.1592,0.2869,,0.4039,0.7306
46,0.9036,0.1521,0.9882,0.1521,0.0118,0.1521,0.16,,0.4039,0.7306
47,0.9044,0.1505,0.9898,0.1505,0.0102,0.1505,0.1665,,0.4039,0.7306
48,0.9037,0.1436,0.9908,0.1436,0.0092,0.1436,0.1666,,0.4039,0.7306
49,0.9033,0.1403,0.9912,0.1403,0.0088,0.1403,0.1647,,0.4039,0.7306
50,0.9026,0.1367,0.9916,0.1367,0.0084,0.1367,0.1615,,0.4039,0.7306
51,0.9021,0.132,0.9919,0.132,0.008,0.132,0.1575,,0.4039,0.7306
52,0.9014,0.13,0.9919,0.13,0.008,0.13,0.1553,,0.4039,0.7306
53,0.9018,0.1283,0.9929,0.1283,0.0071,0.1283,0.1588,,0.4039,0.7306
54,0.901,0.125,0.9929,0.125,0.0071,0.125,0.1538,,0.4039,0.7306
55,0.9001,0.1169,0.9934,0.1169,0.0066,0.1169,0.145,,0.4039,0.7306
56,0.901,0.1152,0.9948,0.1152,0.0052,0.1152,0.1639,,0.4039,0.7306
57,0.901,0.1152,0.9948,0.1152,0.0052,0.1152,0.1639,,0.4039,0.7306
58,0.901,0.1152,0.9948,0.1152,0.0052,0.1152,0.1639,,0.4039,0.7306
59,0.9003,0.1118,0.9952,0.1118,0.0048,0.1118,0.1506,,0.4039,0.7306
60,0.9007,0.1101,0.996,0.1101,0.004,0.1101,0.15,,0.4039,0.7306
61,0.9,0.1067,0.9964,0.1067,0.0036,0.1067,0.13,,0.4039,0.7306
62,0.9,0.1067,0.9964,0.1067,0.0036,0.1067,0.13,,0.4039,0.7306
63,0.9004,0.1067,0.9968,0.1067,0.0032,0.1067,0.135,,0.4039,0.7306
64,0.9008,0.1067,0.9972,0.1067,0.0028,0.1067,0.135,,0.4039,0.7306
65,0.9012,0.1067,0.9978,0.1067,0.0022,0.1067,0.15,,0.4039,0.7306
66,0.9016,0.1067,0.9983,0.1067,0.0017,0.1067,0.2,,0.4039,0.7306
67,0.9016,0.1067,0.9983,0.1067,0.0017,0.1067,0.2,,0.4039,0.7306
68,0.9012,0.105,0.9983,0.105,0.0017,0.105,0.1,,0.4039,0.7306
69,0.9016,0.105,0.9987,0.105,0.0013,0.105,0.1083,,0.4039,0.7306
70,0.9016,0.1033,0.9991,0.1033,0.0009,0.1033,0.1167,,0.4039,0.7306
71,0.9024,0.1033,1.0,0.1033,0.0,0.1033,0.2,,0.4039,0.7306
72,0.9016,0.0017,1.0,0.0017,0.0,0.0017,0.1,,0.4039,0.7306
