t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,222,0,29,0.1155,1.0,0.0,1.0,1.0,1.0,0.1155,0.2071,0.8505,0.5417
0.01,0,222,0,29,0.1155,1.0,0.0,1.0,1.0,1.0,0.1155,0.2071,0.8505,0.5417
0.02,0,222,0,29,0.1155,1.0,0.0,1.0,1.0,1.0,0.1155,0.2071,0.8505,0.5417
0.03,0,222,0,29,0.1155,1.0,0.0,1.0,1.0,1.0,0.1155,0.2071,0.8505,0.5417
0.04,0,221,0,29,0.116,1.0,0.0,1.0,1.0,1.0,0.116,0.2079,0.8505,0.5417
0.05,23,198,0,29,0.208,1.0,0.1041,1.0,0.8959,1.0,0.1278,0.2266,0.8505,0.5417
0.06,64,157,0,28,0.3695,1.0,0.2896,1.0,0.7104,1.0,0.1514,0.2629,0.8505,0.5417
0.07,77,144,0,28,0.4217,1.0,0.3484,1.0,0.6516,1.0,0.1628,0.28,0.8505,0.5417
0.08,123,98,2,26,0.5984,0.9286,0.5566,0.9286,0.4434,0.9286,0.2097,0.3421,0.8505,0.5417
0.09,156,65,6,22,0.7149,0.7857,0.7059,0.7857,0.2941,0.7857,0.2529,0.3826,0.8505,0.5417
0.1,159,62,6,22,0.7269,0.7857,0.7195,0.7857,0.2805,0.7857,0.2619,0.3929,0.8505,0.5417
0.11,167,54,6,22,0.759,0.7857,0.7557,0.7857,0.2443,0.7857,0.2895,0.4231,0.8505,0.5417
0.12,197,24,14,14,0.8474,0.5,0.8914,0.5,0.1086,0.5,0.3684,0.4242,0.8505,0.5417
0.13,210,11,14,14,0.8996,0.5,0.9502,0.5,0.0498,0.5,0.56,0.5283,0.8505,0.5417
0.14,214,7,15,13,0.9116,0.4643,0.9683,0.4643,0.0317,0.4643,0.65,0.5417,0.8505,0.5417
0.15,214,7,16,12,0.9076,0.4286,0.9683,0.4286,0.0317,0.4286,0.6316,0.5106,0.8505,0.5417
0.16,214,7,17,11,0.9036,0.3929,0.9683,0.3929,0.0317,0.3929,0.6111,0.4783,0.8505,0.5417
0.17,214,7,17,11,0.9036,0.3929,0.9683,0.3929,0.0317,0.3929,0.6111,0.4783,0.8505,0.5417
0.18,215,6,17,11,0.9076,0.3929,0.9729,0.3929,0.0271,0.3929,0.6471,0.4889,0.8505,0.5417
0.19,215,6,17,11,0.9076,0.3929,0.9729,0.3929,0.0271,0.3929,0.6471,0.4889,0.8505,0.5417
0.2,215,6,17,11,0.9076,0.3929,0.9729,0.3929,0.0271,0.3929,0.6471,0.4889,0.8505,0.5417
0.21,215,6,17,11,0.9076,0.3929,0.9729,0.3929,0.0271,0.3929,0.6471,0.4889,0.8505,0.5417
0.22,215,6,17,11,0.9076,0.3929,0.9729,0.3929,0.0271,0.3929,0.6471,0.4889,0.8505,0.5417
0.23,215,6,17,11,0.9076,0.3929,0.9729,0.3929,0.0271,0.3929,0.6471,0.4889,0.8505,0.5417
0.24,215,6,17,11,0.9076,0.3929,0.9729,0.3929,0.0271,0.3929,0.6471,0.4889,0.8505,0.5417
0.25,216,5,17,11,0.9116,0.3929,0.9774,0.3929,0.0226,0.3929,0.6875,0.5,0.8505,0.5417
0.26,217,4,17,11,0.9157,0.3929,0.9819,0.3929,0.0181,0.3929,0.7333,0.5116,0.8505,0.5417
0.27,217,4,17,11,0.9157,0.3929,0.9819,0.3929,0.0181,0.3929,0.7333,0.5116,0.8505,0.5417
0.28,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
0.29,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
0.3,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
0.31,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
0.32,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
0.33,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
0.34,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
0.35,222,0,29,0,0.8845,0.0,1.0,0.0,0.0,0.0,0.0,,0.8505,0.5417
