t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,222,0,29,0.1155,1.0,0.0,1.0,1.0,1.0,0.1155,0.2071,0.8169,0.5854
0.01,45,176,0,28,0.2932,1.0,0.2036,1.0,0.7964,1.0,0.1373,0.2414,0.8169,0.5854
0.02,151,70,7,21,0.6908,0.75,0.6833,0.75,0.3167,0.75,0.2308,0.3529,0.8169,0.5854
0.03,190,31,11,17,0.8313,0.6071,0.8597,0.6071,0.1403,0.6071,0.3542,0.4474,0.8169,0.5854
0.04,201,20,11,17,0.8755,0.6071,0.9095,0.6071,0.0905,0.6071,0.4595,0.5231,0.8169,0.5854
0.05,206,15,13,15,0.8876,0.5357,0.9321,0.5357,0.0679,0.5357,0.5,0.5172,0.8169,0.5854
0.06,208,13,14,14,0.8916,0.5,0.9412,0.5,0.0588,0.5,0.5185,0.5091,0.8169,0.5854
0.07,209,12,14,14,0.8956,0.5,0.9457,0.5,0.0543,0.5,0.5385,0.5185,0.8169,0.5854
0.08,211,10,15,13,0.8996,0.4643,0.9548,0.4643,0.0452,0.4643,0.5652,0.5098,0.8169,0.5854
0.09,213,8,15,13,0.9076,0.4643,0.9638,0.4643,0.0362,0.4643,0.619,0.5306,0.8169,0.5854
0.1,213,8,15,13,0.9076,0.4643,0.9638,0.4643,0.0362,0.4643,0.619,0.5306,0.8169,0.5854
0.11,213,8,15,13,0.9076,0.4643,0.9638,0.4643,0.0362,0.4643,0.619,0.5306,0.8169,0.5854
0.12,213,8,16,12,0.9036,0.4286,0.9638,0.4286,0.0362,0.4286,0.6,0.5,0.8169,0.5854
0.13,214,7,16,12,0.9076,0.4286,0.9683,0.4286,0.0317,0.4286,0.6316,0.5106,0.8169,0.5854
0.14,214,7,16,12,0.9076,0.4286,0.9683,0.4286,0.0317,0.4286,0.6316,0.5106,0.8169,0.5854
0.15,214,7,16,12,0.9076,0.4286,0.9683,0.4286,0.0317,0.4286,0.6316,0.5106,0.8169,0.5854
0.16,215,6,16,12,0.9116,0.4286,0.9729,0.4286,0.0271,0.4286,0.6667,0.5217,0.8169,0.5854
0.17,217,4,16,12,0.9197,0.4286,0.9819,0.4286,0.0181,0.4286,0.75,0.5455,0.8169,0.5854
0.18,218,3,16,12,0.9237,0.4286,0.9864,0.4286,0.0136,0.4286,0.8,0.5581,0.8169,0.5854
0.19,219,2,16,12,0.9277,0.4286,0.991,0.4286,0.009,0.4286,0.8571,0.5714,0.8169,0.5854
0.2,219,2,16,12,0.9277,0.4286,0.991,0.4286,0.009,0.4286,0.8571,0.5714,0.8169,0.5854
0.21,219,2,16,12,0.9277,0.4286,0.991,0.4286,0.009,0.4286,0.8571,0.5714,0.8169,0.5854
0.22,220,1,16,12,0.9317,0.4286,0.9955,0.4286,0.0045,0.4286,0.9231,0.5854,0.8169,0.5854
0.23,220,1,16,12,0.9317,0.4286,0.9955,0.4286,0.0045,0.4286,0.9231,0.5854,0.8169,0.5854
0.24,220,1,16,12,0.9317,0.4286,0.9955,0.4286,0.0045,0.4286,0.9231,0.5854,0.8169,0.5854
0.25,220,1,16,12,0.9317,0.4286,0.9955,0.4286,0.0045,0.4286,0.9231,0.5854,0.8169,0.5854
0.26,220,1,16,12,0.9317,0.4286,0.9955,0.4286,0.0045,0.4286,0.9231,0.5854,0.8169,0.5854
0.27,220,1,16,12,0.9317,0.4286,0.9955,0.4286,0.0045,0.4286,0.9231,0.5854,0.8169,0.5854
