t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,250,0,2,0.0079,1.0,0.0,1.0,1.0,1.0,0.0079,0.0157,0.7786,0.5
0.01,120,130,0,2,0.4841,1.0,0.48,1.0,0.52,1.0,0.0152,0.0299,0.7786,0.5
0.02,159,90,1,1,0.6375,0.5,0.6386,0.5,0.3614,0.5,0.011,0.0215,0.7786,0.5
0.03,168,82,1,1,0.6706,0.5,0.672,0.5,0.328,0.5,0.012,0.0235,0.7786,0.5
0.04,179,71,1,1,0.7143,0.5,0.716,0.5,0.284,0.5,0.0139,0.027,0.7786,0.5
0.05,192,58,1,1,0.7659,0.5,0.768,0.5,0.232,0.5,0.0169,0.0328,0.7786,0.5
0.06,200,50,1,1,0.7976,0.5,0.8,0.5,0.2,0.5,0.0196,0.0377,0.7786,0.5
0.07,205,45,1,1,0.8175,0.5,0.82,0.5,0.18,0.5,0.0217,0.0417,0.7786,0.5
0.08,208,41,1,1,0.8327,0.5,0.8353,0.5,0.1647,0.5,0.0238,0.0455,0.7786,0.5
0.09,211,39,1,1,0.8413,0.5,0.844,0.5,0.156,0.5,0.025,0.0476,0.7786,0.5
0.1,212,38,1,1,0.8452,0.5,0.848,0.5,0.152,0.5,0.0256,0.0488,0.7786,0.5
0.11,213,36,1,1,0.8526,0.5,0.8554,0.5,0.1446,0.5,0.027,0.0513,0.7786,0.5
0.12,213,36,1,1,0.8526,0.5,0.8554,0.5,0.1446,0.5,0.027,0.0513,0.7786,0.5
0.13,217,33,1,1,0.8651,0.5,0.868,0.5,0.132,0.5,0.0294,0.0556,0.7786,0.5
0.14,217,33,1,1,0.8651,0.5,0.868,0.5,0.132,0.5,0.0294,0.0556,0.7786,0.5
0.15,219,31,1,1,0.873,0.5,0.876,0.5,0.124,0.5,0.0312,0.0588,0.7786,0.5
0.16,219,31,1,1,0.873,0.5,0.876,0.5,0.124,0.5,0.0312,0.0588,0.7786,0.5
0.17,219,31,1,1,0.873,0.5,0.876,0.5,0.124,0.5,0.0312,0.0588,0.7786,0.5
0.18,220,29,1,1,0.8805,0.5,0.8835,0.5,0.1165,0.5,0.0333,0.0625,0.7786,0.5
0.19,220,29,1,1,0.8805,0.5,0.8835,0.5,0.1165,0.5,0.0333,0.0625,0.7786,0.5
0.2,221,28,1,1,0.8845,0.5,0.8876,0.5,0.1124,0.5,0.0345,0.0645,0.7786,0.5
