t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,208,0,43,0.1713,1.0,0.0,1.0,1.0,1.0,0.1713,0.2925,0.5484,0.3168
0.01,0,208,0,43,0.1713,1.0,0.0,1.0,1.0,1.0,0.1713,0.2925,0.5484,0.3168
0.02,0,208,0,43,0.1713,1.0,0.0,1.0,1.0,1.0,0.1713,0.2925,0.5484,0.3168
0.03,0,208,0,43,0.1713,1.0,0.0,1.0,1.0,1.0,0.1713,0.2925,0.5484,0.3168
0.04,0,207,0,43,0.172,1.0,0.0,1.0,1.0,1.0,0.172,0.2935,0.5484,0.3168
0.05,1,206,0,43,0.176,1.0,0.0048,1.0,0.9952,1.0,0.1727,0.2945,0.5484,0.3168
0.06,1,206,0,43,0.176,1.0,0.0048,1.0,0.9952,1.0,0.1727,0.2945,0.5484,0.3168
0.07,1,206,0,43,0.176,1.0,0.0048,1.0,0.9952,1.0,0.1727,0.2945,0.5484,0.3168
0.08,1,206,0,43,0.176,1.0,0.0048,1.0,0.9952,1.0,0.1727,0.2945,0.5484,0.3168
0.09,61,146,8,34,0.3815,0.8095,0.2947,0.8095,0.7053,0.8095,0.1889,0.3063,0.5484,0.3168
0.1,75,132,10,32,0.4297,0.7619,0.3623,0.7619,0.6377,0.7619,0.1951,0.3107,0.5484,0.3168
0.11,79,128,10,32,0.4458,0.7619,0.3816,0.7619,0.6184,0.7619,0.2,0.3168,0.5484,0.3168
0.12,79,128,10,32,0.4458,0.7619,0.3816,0.7619,0.6184,0.7619,0.2,0.3168,0.5484,0.3168
0.13,80,127,12,30,0.4418,0.7143,0.3865,0.7143,0.6135,0.7143,0.1911,0.3015,0.5484,0.3168
0.14,102,105,16,26,0.5141,0.619,0.4928,0.619,0.5072,0.619,0.1985,0.3006,0.5484,0.3168
0.15,135,72,27,15,0.6024,0.3571,0.6522,0.3571,0.3478,0.3571,0.1724,0.2326,0.5484,0.3168
0.16,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.17,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.18,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.19,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.2,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.21,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.22,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.23,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.24,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.25,206,1,43,0,0.824,0.0,0.9952,0.0,0.0048,0.0,0.0,,0.5484,0.3168
0.26,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.27,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.28,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.29,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.3,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.31,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.32,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.33,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.34,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.35,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.36,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.37,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.38,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.39,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.4,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.41,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.42,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.43,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.44,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.45,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.46,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
0.47,207,0,43,0,0.828,0.0,1.0,0.0,0.0,0.0,0.0,,0.5484,0.3168
