t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,243,0,9,0.0357,1.0,0.0,1.0,1.0,1.0,0.0357,0.069,0.933,0.7059
0.01,0,243,0,9,0.0357,1.0,0.0,1.0,1.0,1.0,0.0357,0.069,0.933,0.7059
0.02,1,242,0,9,0.0397,1.0,0.0041,1.0,0.9959,1.0,0.0359,0.0692,0.933,0.7059
0.03,13,229,0,9,0.0876,1.0,0.0537,1.0,0.9463,1.0,0.0378,0.0729,0.933,0.7059
0.04,42,200,0,9,0.2032,1.0,0.1736,1.0,0.8264,1.0,0.0431,0.0826,0.933,0.7059
0.05,112,130,0,9,0.4821,1.0,0.4628,1.0,0.5372,1.0,0.0647,0.1216,0.933,0.7059
0.06,185,58,1,8,0.7659,0.8889,0.7613,0.8889,0.2387,0.8889,0.1212,0.2133,0.933,0.7059
0.07,190,53,1,8,0.7857,0.8889,0.7819,0.8889,0.2181,0.8889,0.1311,0.2286,0.933,0.7059
0.08,206,36,2,7,0.8486,0.7778,0.8512,0.7778,0.1488,0.7778,0.1628,0.2692,0.933,0.7059
0.09,210,32,2,7,0.8645,0.7778,0.8678,0.7778,0.1322,0.7778,0.1795,0.2917,0.933,0.7059
0.1,216,26,2,7,0.8884,0.7778,0.8926,0.7778,0.1074,0.7778,0.2121,0.3333,0.933,0.7059
0.11,220,22,2,7,0.9044,0.7778,0.9091,0.7778,0.0909,0.7778,0.2414,0.3684,0.933,0.7059
0.12,223,19,2,7,0.9163,0.7778,0.9215,0.7778,0.0785,0.7778,0.2692,0.4,0.933,0.7059
0.13,227,15,2,7,0.9323,0.7778,0.938,0.7778,0.062,0.7778,0.3182,0.4516,0.933,0.7059
0.14,233,9,2,7,0.9562,0.7778,0.9628,0.7778,0.0372,0.7778,0.4375,0.56,0.933,0.7059
0.15,237,6,2,7,0.9683,0.7778,0.9753,0.7778,0.0247,0.7778,0.5385,0.6364,0.933,0.7059
0.16,238,4,2,7,0.9761,0.7778,0.9835,0.7778,0.0165,0.7778,0.6364,0.7,0.933,0.7059
0.17,239,3,3,6,0.9761,0.6667,0.9876,0.6667,0.0124,0.6667,0.6667,0.6667,0.933,0.7059
0.18,239,3,3,6,0.9761,0.6667,0.9876,0.6667,0.0124,0.6667,0.6667,0.6667,0.933,0.7059
0.19,240,2,3,6,0.9801,0.6667,0.9917,0.6667,0.0083,0.6667,0.75,0.7059,0.933,0.7059
0.2,240,2,3,6,0.9801,0.6667,0.9917,0.6667,0.0083,0.6667,0.75,0.7059,0.933,0.7059
0.21,242,1,4,4,0.9801,0.5,0.9959,0.5,0.0041,0.5,0.8,0.6154,0.933,0.7059
0.22,242,1,4,4,0.9801,0.5,0.9959,0.5,0.0041,0.5,0.8,0.6154,0.933,0.7059
0.23,242,1,6,3,0.9722,0.3333,0.9959,0.3333,0.0041,0.3333,0.75,0.4615,0.933,0.7059
0.24,242,1,6,3,0.9722,0.3333,0.9959,0.3333,0.0041,0.3333,0.75,0.4615,0.933,0.7059
0.25,242,1,6,3,0.9722,0.3333,0.9959,0.3333,0.0041,0.3333,0.75,0.4615,0.933,0.7059
0.26,242,1,6,3,0.9722,0.3333,0.9959,0.3333,0.0041,0.3333,0.75,0.4615,0.933,0.7059
0.27,243,0,7,2,0.9722,0.2222,1.0,0.2222,0.0,0.2222,1.0,0.3636,0.933,0.7059
0.28,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.29,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.3,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.31,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.32,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.33,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.34,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.35,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.36,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.37,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.38,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.39,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.4,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.41,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.42,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.43,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.44,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.45,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.46,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.47,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.48,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.49,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.5,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.51,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.52,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.53,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.54,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.55,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.56,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.57,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.58,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.59,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.6,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.61,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.62,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.63,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.64,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.65,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.66,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.67,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.68,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.69,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.7,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.71,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.72,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.73,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.74,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.75,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.76,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.77,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.78,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.79,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.8,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.81,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.82,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.83,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.84,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.85,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.86,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.87,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.88,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.89,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.9,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.91,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.92,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.93,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.94,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.95,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.96,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.97,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.98,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
0.99,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
1.0,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
1.01,243,0,9,0,0.9643,0.0,1.0,0.0,0.0,0.0,0.0,,0.933,0.7059
