,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282537,0.24382228,0.20724426,0.124290764,0.14741889,0.122814,0.15440986
ERR4282540,0.18907592,0.27433756,0.13201402,0.14127438,0.11532683,0.14797132
ERR4282541,0.21399195,0.25426736,0.13145924,0.13590012,0.11373909,0.15064226
ERR4282542,0.25263897,0.2146473,0.1268,0.13591227,0.115916625,0.15408483
ERR4282543,0.09923889,0.28245172,0.22836235,0.09516856,0.16886471,0.12591372
ERR4282544,0.062569596,0.16737117,0.2138015,0.281215,0.18286327,0.0921794
ERR4282545,0.16630034,0.17599098,0.33595857,0.09275278,0.119676255,0.109321035
ERR4282546,0.18869975,0.27484715,0.13205369,0.1412239,0.11526799,0.14790744
ERR4282547,0.14197683,0.33267683,0.13322297,0.14187059,0.111485384,0.13876744
ERR4282548,0.12417887,0.3455493,0.13085404,0.15010929,0.11419014,0.1351183
ERR4282549,0.22572987,0.24290974,0.1304634,0.13512303,0.11395872,0.15181519
ERR4282550,0.23538867,0.2085656,0.13647006,0.13814719,0.12828228,0.1531462
ERR4282551,0.20788918,0.26097143,0.13204196,0.13586645,0.11333035,0.14990059
ERR4282552,0.21790002,0.2514443,0.13135336,0.13494691,0.1133871,0.15096825
ERR4282553,0.17844032,0.11547194,0.46409678,0.073334225,0.086400345,0.08225636
ERR4282554,0.14201406,0.13778731,0.3974692,0.117128804,0.114877485,0.09072316
ERR4282555,0.15538198,0.12271851,0.4338607,0.10123892,0.10197477,0.08482512
ERR4282556,0.1867941,0.28044808,0.13280652,0.1389135,0.11372213,0.1473156
ERR4282557,0.1783653,0.11561904,0.46383637,0.07337419,0.08648808,0.082317
ERR4282558,0.11976708,0.3600022,0.13164885,0.14486288,0.11063671,0.13308239
ERR4282559,0.25279757,0.20823456,0.12531129,0.14037018,0.11880002,0.15448636
ERR4282560,0.15969266,0.31317225,0.1338257,0.13923265,0.11166156,0.14241517
ERR4282561,0.21391824,0.25299242,0.1311879,0.13683783,0.11431504,0.15074867
ERR4282562,0.24362664,0.22897384,0.1292726,0.13207231,0.11301004,0.15304455
ERR4282563,0.17317185,0.12577915,0.44613495,0.076042,0.09248696,0.08638508
ERR4282564,0.120607205,0.35636804,0.13139403,0.14643101,0.11164042,0.13355924
ERR4282565,0.25226232,0.22191393,0.12846467,0.13103132,0.112774864,0.15355283
ERR4282566,0.17831397,0.1157169,0.4636622,0.07340244,0.08654725,0.082357295
ERR4282567,0.17837913,0.115587525,0.4638906,0.07336824,0.0864705,0.082304
ERR4282568,0.17502181,0.28532377,0.1318181,0.14515261,0.116540805,0.14614287
ERR4282569,0.21874514,0.25109947,0.13138294,0.13456099,0.1131978,0.15101369
ERR4282570,0.17033607,0.13065532,0.43717736,0.07792122,0.0956116,0.08829846
ERR4282571,0.17846341,0.11542755,0.46417573,0.07332162,0.08637359,0.08223805
ERR4282572,0.17842688,0.115498014,0.4640506,0.0733415,0.08641598,0.0822671
ERR4282573,0.12604791,0.32826483,0.12882836,0.1600067,0.12000265,0.13684957
ERR4282574,0.25651267,0.21794192,0.12791274,0.13091433,0.11290281,0.15381539
ERR4282575,0.22390144,0.24650745,0.13102323,0.13395524,0.11312417,0.15148851
ERR4282576,0.16163765,0.3056833,0.13297439,0.14258459,0.11383895,0.14328109
ERR4282577,0.16694246,0.12091211,0.44758523,0.08563807,0.09456126,0.084360875
ERR4282578,0.15216352,0.14124236,0.40633196,0.09862635,0.10956095,0.09207494
ERR4282579,0.15712468,0.3141107,0.13348736,0.14081262,0.11236681,0.14209783
ERR4282580,0.25182986,0.21065421,0.12903267,0.13548024,0.118842885,0.15416008
ERR4282581,0.24671152,0.22601242,0.12889412,0.13199604,0.1131163,0.15326951
ERR4282582,0.16160293,0.13205828,0.42821527,0.08832159,0.10114418,0.08865774
ERR4282583,0.12762895,0.32580546,0.1288521,0.16013382,0.120275795,0.13730392
ERR4282584,0.062848486,0.17253545,0.21292752,0.27340177,0.18701263,0.09127415
ERR4282585,0.0990279,0.28065893,0.2290644,0.09657605,0.16916507,0.12550768
ERR4282586,0.17830105,0.11573922,0.46362162,0.07341029,0.0865614,0.0823665
ERR4282587,0.14778736,0.19041547,0.33426854,0.09108303,0.126889,0.10955662
ERR4282588,0.17346752,0.12520206,0.44712582,0.07589503,0.09214936,0.0861602
ERR4282589,0.17729872,0.117697366,0.46016538,0.0739418,0.0877285,0.08316819
ERR4282590,0.17373636,0.11912558,0.4555753,0.077694856,0.09014301,0.08372479
ERR4282591,0.23853411,0.23074935,0.12916523,0.13442045,0.114228874,0.15290205
ERR4282592,0.16777296,0.1532223,0.38690206,0.085085385,0.10820162,0.09881562
ERR4282593,0.17845619,0.115441605,0.46415076,0.07332551,0.086382024,0.08224386
