,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282537,0.088876426,0.1884962,0.08605382,0.119612955,0.054196708,0.09019008,0.13048072,0.13497792,0.049067702,0.05804748
ERR4282540,0.0904043,0.17984581,0.07784405,0.12434641,0.05364902,0.1008365,0.13332975,0.13229899,0.044706397,0.06273875
ERR4282541,0.090519115,0.17977479,0.077562325,0.124634214,0.05345896,0.101405725,0.1331634,0.13218404,0.044422533,0.06287488
ERR4282542,0.088918015,0.15294622,0.06189944,0.1337455,0.054642554,0.1266178,0.14764574,0.121910214,0.03978741,0.07188712
ERR4282543,0.10627494,0.079629265,0.057129625,0.047471117,0.2908867,0.09079753,0.05117482,0.069745004,0.16123948,0.045651548
ERR4282544,0.043648195,0.08016464,0.09784921,0.076109394,0.18512405,0.06506586,0.12717804,0.118515916,0.16661541,0.03972918
ERR4282545,0.08863213,0.13866149,0.05777537,0.13777323,0.053384077,0.14266418,0.15055531,0.11923802,0.034537114,0.076779164
ERR4282546,0.089847706,0.164942,0.06875895,0.12963432,0.054379217,0.11443058,0.14129648,0.12684794,0.042012025,0.06785078
ERR4282547,0.08887615,0.21513364,0.103490844,0.10901194,0.051719252,0.07132689,0.11470812,0.14301835,0.05230175,0.050413027
ERR4282548,0.0892966,0.20664716,0.09739526,0.11242358,0.052617587,0.07708024,0.11952206,0.14090435,0.050996307,0.0531169
ERR4282549,0.0901204,0.1995035,0.09114819,0.11645963,0.052521862,0.08420568,0.12291741,0.13861108,0.0485454,0.055966858
ERR4282550,0.08752378,0.16442476,0.07232036,0.1290135,0.05543027,0.11171623,0.14399955,0.12544684,0.04554021,0.06458448
ERR4282551,0.089908235,0.2050677,0.095070526,0.114173636,0.052081563,0.07997105,0.11988439,0.14018418,0.04953899,0.054119725
ERR4282552,0.08990698,0.20512846,0.09511061,0.114151716,0.05207453,0.07993077,0.11984968,0.14019985,0.049546424,0.054100923
ERR4282553,0.15681623,0.11960256,0.055872463,0.070864595,0.16813208,0.17569895,0.038386907,0.08051409,0.077429235,0.05668285
ERR4282554,0.11168988,0.09752487,0.076832555,0.113016136,0.0831123,0.20406549,0.09335586,0.11039155,0.028865598,0.0811458
ERR4282555,0.09749621,0.11428471,0.08553569,0.12102645,0.071228795,0.17980221,0.113904566,0.10171304,0.024903417,0.09010492
ERR4282556,0.090452366,0.1884024,0.08336458,0.12112226,0.053125754,0.09356649,0.12874854,0.13513921,0.046258382,0.059820022
ERR4282557,0.1071858,0.08035834,0.057136625,0.04753228,0.28934357,0.09048189,0.051307354,0.06994449,0.16088872,0.045820877
ERR4282558,0.08990541,0.2035659,0.09415231,0.11464951,0.05229518,0.080866076,0.12077426,0.13981175,0.049422696,0.05455686
ERR4282559,0.088559955,0.14313738,0.056548998,0.13727817,0.053861555,0.1386786,0.15102279,0.118541256,0.036645934,0.07572529
