t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,209,0,43,0.1706,1.0,0.0,1.0,1.0,1.0,0.1706,0.2915,0.8433,0.5806
0.01,6,203,0,43,0.1944,1.0,0.0287,1.0,0.9713,1.0,0.1748,0.2976,0.8433,0.5806
0.02,60,148,0,43,0.4104,1.0,0.2885,1.0,0.7115,1.0,0.2251,0.3675,0.8433,0.5806
0.03,87,122,1,42,0.5119,0.9767,0.4163,0.9767,0.5837,0.9767,0.2561,0.4058,0.8433,0.5806
0.04,98,111,1,42,0.5556,0.9767,0.4689,0.9767,0.5311,0.9767,0.2745,0.4286,0.8433,0.5806
0.05,112,96,1,42,0.6135,0.9767,0.5385,0.9767,0.4615,0.9767,0.3043,0.4641,0.8433,0.5806
0.06,118,90,1,42,0.6375,0.9767,0.5673,0.9767,0.4327,0.9767,0.3182,0.48,0.8433,0.5806
0.07,127,82,1,42,0.6706,0.9767,0.6077,0.9767,0.3923,0.9767,0.3387,0.503,0.8433,0.5806
0.08,137,71,2,41,0.7092,0.9535,0.6587,0.9535,0.3413,0.9535,0.3661,0.529,0.8433,0.5806
0.09,139,70,3,39,0.7092,0.9286,0.6651,0.9286,0.3349,0.9286,0.3578,0.5166,0.8433,0.5806
0.1,146,62,3,39,0.74,0.9286,0.7019,0.9286,0.2981,0.9286,0.3861,0.5455,0.8433,0.5806
0.11,151,58,4,38,0.753,0.9048,0.7225,0.9048,0.2775,0.9048,0.3958,0.5507,0.8433,0.5806
0.12,154,54,6,37,0.761,0.8605,0.7404,0.8605,0.2596,0.8605,0.4066,0.5522,0.8433,0.5806
0.13,157,52,6,37,0.7698,0.8605,0.7512,0.8605,0.2488,0.8605,0.4157,0.5606,0.8433,0.5806
0.14,159,49,6,37,0.7809,0.8605,0.7644,0.8605,0.2356,0.8605,0.4302,0.5736,0.8433,0.5806
0.15,163,45,7,36,0.7928,0.8372,0.7837,0.8372,0.2163,0.8372,0.4444,0.5806,0.8433,0.5806
