,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282537,0.4814272,0.13624728,0.16769305,0.07181047,0.026492117,0.11632991
ERR4282540,0.3754099,0.25520563,0.08080672,0.09622265,0.014048225,0.17830682
ERR4282541,0.68405706,0.08924783,0.11921048,0.029405668,0.008324807,0.069754235
ERR4282542,0.06649991,0.026350934,0.84715146,0.007906372,0.03314448,0.01894679
ERR4282543,0.004155307,0.011968419,0.018998101,0.016829018,0.91712564,0.030923543
ERR4282544,0.004564692,0.0122227175,0.019865245,0.016514791,0.912763,0.03406951
ERR4282545,0.34809607,0.14304912,0.29397613,0.047450572,0.020431312,0.14699674
ERR4282546,0.17502213,0.35782033,0.028139595,0.1813833,0.013668388,0.2439663
ERR4282547,0.100801274,0.32105193,0.022859108,0.3324364,0.01646283,0.20638847
ERR4282548,0.06814195,0.17878383,0.016523026,0.48365238,0.05027279,0.20262602
ERR4282549,0.08744102,0.29487726,0.027037226,0.3523186,0.026655247,0.21167067
ERR4282550,0.100854255,0.098499954,0.01724973,0.1120707,0.24005005,0.43127534
ERR4282551,0.08885868,0.3301667,0.024062136,0.3939908,0.016285712,0.14663595
ERR4282552,0.07799452,0.3020195,0.025340155,0.4332282,0.019019626,0.142398
ERR4282553,0.052392203,0.008671102,0.8871185,0.0038965207,0.03327896,0.0146425925
ERR4282554,0.26227146,0.24901624,0.103896156,0.12949185,0.024386546,0.23093776
ERR4282555,0.123412065,0.07755379,0.3291685,0.068762414,0.32482582,0.076277316
ERR4282556,0.077458404,0.27985576,0.024725094,0.42825958,0.01968239,0.17001888
ERR4282557,0.027381932,0.0018139045,0.17568752,0.0038714658,0.78558403,0.0056610964
ERR4282558,0.06675045,0.20373403,0.016550265,0.5767899,0.020324988,0.11585032
ERR4282559,0.25151724,0.12870425,0.02105663,0.09146623,0.062620215,0.44463545
ERR4282560,0.07996688,0.22470388,0.020186992,0.38715416,0.02804332,0.25994474
ERR4282561,0.587369,0.08437402,0.21768416,0.03046217,0.013318109,0.06679252
ERR4282562,0.69756544,0.078268334,0.11148245,0.032560654,0.011474895,0.06864817
ERR4282563,0.022191035,0.019304402,0.9072897,0.0056276093,0.022816503,0.02277066
ERR4282564,0.15800855,0.29328224,0.09206079,0.09432701,0.012734918,0.34958652
ERR4282565,0.73935926,0.058250464,0.11118569,0.023634642,0.010773922,0.056795977
ERR4282566,0.029668663,0.015455366,0.06834656,0.01660977,0.7818128,0.08810683
ERR4282567,0.07811459,0.03104346,0.7973303,0.012169411,0.052210372,0.029131673
ERR4282568,0.0693793,0.19643207,0.023372082,0.19455346,0.031274922,0.4849881
ERR4282569,0.093982965,0.34414715,0.029853394,0.27233028,0.017484944,0.24220133
ERR4282570,0.45145762,0.06119024,0.37637258,0.021231776,0.038500614,0.051247112
ERR4282571,0.29201534,0.011386156,0.14590214,0.03810543,0.36438158,0.14820929
ERR4282572,0.053236444,0.01107196,0.2771764,0.010922953,0.5795082,0.06808403
ERR4282573,0.33054495,0.2153081,0.042745974,0.12681422,0.021419061,0.26316765
ERR4282574,0.41133848,0.07602291,0.42025885,0.019708635,0.02133938,0.051331747
ERR4282575,0.25782445,0.08510785,0.031837754,0.089068376,0.19376518,0.34239635
ERR4282576,0.523658,0.1645036,0.0765944,0.06372537,0.013708734,0.1578099
ERR4282577,0.105720155,0.07536466,0.12535729,0.10652027,0.50838804,0.078649536
ERR4282578,0.11663422,0.03643444,0.7640498,0.012826752,0.039553482,0.030501181
ERR4282579,0.23547883,0.37291184,0.04667299,0.1966091,0.012111205,0.13621607
ERR4282580,0.6809784,0.065232694,0.10298384,0.028562877,0.021654502,0.10058761
ERR4282581,0.6744215,0.09127801,0.1280744,0.034633968,0.009877728,0.061714433
ERR4282582,0.08995542,0.032541957,0.81412625,0.009237363,0.031412486,0.022726605
ERR4282583,0.07583628,0.27372193,0.023599591,0.45296136,0.019164525,0.1547163
ERR4282584,0.004548998,0.012237812,0.01969212,0.016587077,0.91290987,0.034024257
ERR4282585,0.49950084,0.07016261,0.022498801,0.027052209,0.07577739,0.30500817
ERR4282586,0.20148245,0.19538341,0.256368,0.0690309,0.02045455,0.2572807
ERR4282587,0.07379158,0.23479682,0.017633213,0.53456175,0.016479757,0.122736916
ERR4282588,0.029276723,0.016221564,0.9083096,0.004781865,0.021903506,0.019506818
ERR4282589,0.053574536,0.021647392,0.8702506,0.0065931464,0.031271156,0.016663196
