,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC
0,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2799,0.491,0.7801
1,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2799,0.491,0.7801
2,0.164,1.0,0.0,1.0,1.0,1.0,0.164,0.2799,0.491,0.7801
3,0.1648,1.0,0.0008,1.0,0.9992,1.0,0.1643,0.2803,0.491,0.7801
4,0.1676,1.0,0.0041,1.0,0.9959,1.0,0.1649,0.2812,0.491,0.7801
5,0.212,0.9917,0.0573,0.9917,0.9427,0.9917,0.1704,0.2891,0.491,0.7801
6,0.2785,0.975,0.1383,0.975,0.8617,0.975,0.1816,0.3036,0.491,0.7801
7,0.3289,0.9542,0.2023,0.9542,0.7977,0.9542,0.1921,0.316,0.491,0.7801
8,0.4114,0.9344,0.3041,0.9344,0.6959,0.9344,0.2086,0.3378,0.491,0.7801
9,0.4744,0.9308,0.3784,0.9308,0.6216,0.9308,0.2286,0.3644,0.491,0.7801
10,0.5024,0.911,0.4142,0.911,0.5858,0.911,0.2385,0.3755,0.491,0.7801
11,0.5348,0.9031,0.4553,0.9031,0.5447,0.9031,0.2506,0.3895,0.491,0.7801
12,0.5596,0.885,0.4892,0.885,0.5108,0.885,0.2626,0.4007,0.491,0.7801
13,0.583,0.8193,0.5235,0.8193,0.4765,0.8193,0.2804,0.4065,0.491,0.7801
14,0.6084,0.8122,0.5557,0.8122,0.4443,0.8122,0.3055,0.4262,0.491,0.7801
15,0.6252,0.7814,0.5826,0.7814,0.4173,0.7814,0.3111,0.4274,0.491,0.7801
16,0.6513,0.7426,0.6224,0.7426,0.3776,0.7426,0.3172,0.4295,0.491,0.7801
17,0.6694,0.7241,0.6485,0.7241,0.3515,0.7241,0.3263,0.4353,0.491,0.7801
18,0.7035,0.684,0.6994,0.684,0.3006,0.684,0.3473,0.4454,0.491,0.7801
19,0.7256,0.6397,0.7362,0.6397,0.2638,0.6397,0.3636,0.4412,0.491,0.7801
20,0.7584,0.6046,0.7823,0.6046,0.2177,0.6046,0.3946,0.4488,0.491,0.7801
21,0.7624,0.5706,0.7945,0.5706,0.2055,0.5706,0.3921,0.4359,0.491,0.7801
22,0.7704,0.5406,0.8106,0.5406,0.1894,0.5406,0.3927,0.4274,0.491,0.7801
23,0.7832,0.5262,0.8293,0.5262,0.1707,0.5262,0.4084,0.4322,0.491,0.7801
24,0.7965,0.492,0.8529,0.492,0.1471,0.492,0.4176,0.428,0.491,0.7801
25,0.8066,0.4764,0.8682,0.4764,0.1317,0.4764,0.4334,0.4266,0.491,0.7801
26,0.8146,0.4535,0.8829,0.4535,0.1171,0.4535,0.4433,0.4162,0.491,0.7801
27,0.8173,0.4457,0.8878,0.4457,0.1122,0.4457,0.4531,0.4133,0.491,0.7801
28,0.8173,0.3879,0.8976,0.3879,0.1024,0.3879,0.512,0.3619,0.491,0.7801
29,0.8173,0.3879,0.8976,0.3879,0.1024,0.3879,0.512,0.3619,0.491,0.7801
30,0.8228,0.311,0.9139,0.311,0.0861,0.311,0.4417,,0.491,0.7801
31,0.8249,0.2891,0.9212,0.2891,0.0788,0.2891,0.4445,,0.491,0.7801
32,0.8282,0.2821,0.927,0.2821,0.073,0.2821,0.4503,,0.491,0.7801
33,0.8316,0.275,0.9327,0.275,0.0673,0.275,0.4637,,0.491,0.7801
34,0.8316,0.257,0.9367,0.257,0.0633,0.257,0.4569,,0.491,0.7801
35,0.8384,0.2347,0.9498,0.2347,0.0502,0.2347,0.5806,,0.491,0.7801
36,0.8363,0.2129,0.9523,0.2129,0.0477,0.2129,0.4096,,0.491,0.7801
37,0.8378,0.1934,0.9587,0.1934,0.0413,0.1934,0.4113,,0.491,0.7801
38,0.8405,0.1608,0.9692,0.1608,0.0308,0.1608,0.3727,,0.491,0.7801
39,0.8425,0.1448,0.9749,0.1448,0.0251,0.1448,0.3379,,0.491,0.7801
40,0.8453,0.1041,0.9861,0.1041,0.0139,0.1041,0.4365,,0.491,0.7801
