t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,205,0,46,0.1833,1.0,0.0,1.0,1.0,1.0,0.1833,0.3098,0.8683,0.6292
0.01,0,205,0,46,0.1833,1.0,0.0,1.0,1.0,1.0,0.1833,0.3098,0.8683,0.6292
0.02,0,205,0,46,0.1833,1.0,0.0,1.0,1.0,1.0,0.1833,0.3098,0.8683,0.6292
0.03,0,205,0,46,0.1833,1.0,0.0,1.0,1.0,1.0,0.1833,0.3098,0.8683,0.6292
0.04,0,205,0,46,0.1833,1.0,0.0,1.0,1.0,1.0,0.1833,0.3098,0.8683,0.6292
0.05,1,203,0,46,0.188,1.0,0.0049,1.0,0.9951,1.0,0.1847,0.3119,0.8683,0.6292
0.06,8,196,0,45,0.2129,1.0,0.0392,1.0,0.9608,1.0,0.1867,0.3147,0.8683,0.6292
0.07,16,188,0,45,0.245,1.0,0.0784,1.0,0.9216,1.0,0.1931,0.3237,0.8683,0.6292
0.08,52,152,0,45,0.3896,1.0,0.2549,1.0,0.7451,1.0,0.2284,0.3719,0.8683,0.6292
0.09,66,138,0,45,0.4458,1.0,0.3235,1.0,0.6765,1.0,0.2459,0.3947,0.8683,0.6292
0.1,74,130,1,44,0.4739,0.9778,0.3627,0.9778,0.6373,0.9778,0.2529,0.4018,0.8683,0.6292
0.11,80,124,2,43,0.494,0.9556,0.3922,0.9556,0.6078,0.9556,0.2575,0.4057,0.8683,0.6292
0.12,89,115,2,43,0.5301,0.9556,0.4363,0.9556,0.5637,0.9556,0.2722,0.4236,0.8683,0.6292
0.13,94,110,2,43,0.5502,0.9556,0.4608,0.9556,0.5392,0.9556,0.281,0.4343,0.8683,0.6292
0.14,102,102,2,43,0.5823,0.9556,0.5,0.9556,0.5,0.9556,0.2966,0.4526,0.8683,0.6292
0.15,109,95,2,43,0.6104,0.9556,0.5343,0.9556,0.4657,0.9556,0.3116,0.4699,0.8683,0.6292
0.16,112,92,2,43,0.6225,0.9556,0.549,0.9556,0.451,0.9556,0.3185,0.4778,0.8683,0.6292
0.17,117,87,3,42,0.6386,0.9333,0.5735,0.9333,0.4265,0.9333,0.3256,0.4828,0.8683,0.6292
0.18,125,79,3,42,0.6707,0.9333,0.6127,0.9333,0.3873,0.9333,0.3471,0.506,0.8683,0.6292
0.19,132,72,3,42,0.6988,0.9333,0.6471,0.9333,0.3529,0.9333,0.3684,0.5283,0.8683,0.6292
0.2,141,63,5,40,0.7269,0.8889,0.6912,0.8889,0.3088,0.8889,0.3883,0.5405,0.8683,0.6292
0.21,142,62,8,37,0.7189,0.8222,0.6961,0.8222,0.3039,0.8222,0.3737,0.5139,0.8683,0.6292
0.22,148,56,10,35,0.7349,0.7778,0.7255,0.7778,0.2745,0.7778,0.3846,0.5147,0.8683,0.6292
0.23,149,55,10,35,0.739,0.7778,0.7304,0.7778,0.2696,0.7778,0.3889,0.5185,0.8683,0.6292
0.24,168,36,13,32,0.8032,0.7111,0.8235,0.7111,0.1765,0.7111,0.4706,0.5664,0.8683,0.6292
0.25,169,35,14,31,0.8032,0.6889,0.8284,0.6889,0.1716,0.6889,0.4697,0.5586,0.8683,0.6292
0.26,173,31,14,31,0.8193,0.6889,0.848,0.6889,0.152,0.6889,0.5,0.5794,0.8683,0.6292
0.27,175,29,14,31,0.8273,0.6889,0.8578,0.6889,0.1422,0.6889,0.5167,0.5905,0.8683,0.6292
0.28,176,28,14,31,0.8313,0.6889,0.8627,0.6889,0.1373,0.6889,0.5254,0.5962,0.8683,0.6292
0.29,176,28,14,31,0.8313,0.6889,0.8627,0.6889,0.1373,0.6889,0.5254,0.5962,0.8683,0.6292
0.3,178,26,14,31,0.8394,0.6889,0.8725,0.6889,0.1275,0.6889,0.5439,0.6078,0.8683,0.6292
0.31,180,24,15,30,0.8434,0.6667,0.8824,0.6667,0.1176,0.6667,0.5556,0.6061,0.8683,0.6292
0.32,180,24,15,30,0.8434,0.6667,0.8824,0.6667,0.1176,0.6667,0.5556,0.6061,0.8683,0.6292
0.33,181,23,15,30,0.8474,0.6667,0.8873,0.6667,0.1127,0.6667,0.566,0.6122,0.8683,0.6292
0.34,182,22,16,29,0.8474,0.6444,0.8922,0.6444,0.1078,0.6444,0.5686,0.6042,0.8683,0.6292
0.35,184,20,17,28,0.8514,0.6222,0.902,0.6222,0.098,0.6222,0.5833,0.6022,0.8683,0.6292
0.36,185,19,17,28,0.8554,0.6222,0.9069,0.6222,0.0931,0.6222,0.5957,0.6087,0.8683,0.6292
0.37,186,18,17,28,0.8594,0.6222,0.9118,0.6222,0.0882,0.6222,0.6087,0.6154,0.8683,0.6292
0.38,187,17,17,28,0.8635,0.6222,0.9167,0.6222,0.0833,0.6222,0.6222,0.6222,0.8683,0.6292
0.39,188,16,17,28,0.8675,0.6222,0.9216,0.6222,0.0784,0.6222,0.6364,0.6292,0.8683,0.6292
0.4,188,16,19,26,0.8594,0.5778,0.9216,0.5778,0.0784,0.5778,0.619,0.5977,0.8683,0.6292
0.41,188,16,19,26,0.8594,0.5778,0.9216,0.5778,0.0784,0.5778,0.619,0.5977,0.8683,0.6292
0.42,188,16,20,25,0.8554,0.5556,0.9216,0.5556,0.0784,0.5556,0.6098,0.5814,0.8683,0.6292
0.43,189,15,21,24,0.8554,0.5333,0.9265,0.5333,0.0735,0.5333,0.6154,0.5714,0.8683,0.6292
0.44,190,14,21,24,0.8594,0.5333,0.9314,0.5333,0.0686,0.5333,0.6316,0.5783,0.8683,0.6292
0.45,190,14,22,23,0.8554,0.5111,0.9314,0.5111,0.0686,0.5111,0.6216,0.561,0.8683,0.6292
0.46,190,14,23,22,0.8514,0.4889,0.9314,0.4889,0.0686,0.4889,0.6111,0.5432,0.8683,0.6292
0.47,190,14,23,22,0.8514,0.4889,0.9314,0.4889,0.0686,0.4889,0.6111,0.5432,0.8683,0.6292
0.48,191,13,24,21,0.8514,0.4667,0.9363,0.4667,0.0637,0.4667,0.6176,0.5316,0.8683,0.6292
0.49,195,9,24,21,0.8675,0.4667,0.9559,0.4667,0.0441,0.4667,0.7,0.56,0.8683,0.6292
0.5,196,8,25,20,0.8675,0.4444,0.9608,0.4444,0.0392,0.4444,0.7143,0.5479,0.8683,0.6292
0.51,198,6,26,19,0.8715,0.4222,0.9706,0.4222,0.0294,0.4222,0.76,0.5429,0.8683,0.6292
0.52,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.53,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.54,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.55,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.56,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.57,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.58,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.59,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.6,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.61,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.62,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.63,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.64,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.65,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.66,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.67,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.68,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.69,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.7,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.71,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.72,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.73,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.74,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.75,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.76,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.77,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.78,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.79,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.8,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
0.81,205,0,46,0,0.8167,0.0,1.0,0.0,0.0,0.0,0.0,,0.8683,0.6292
