t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,F-max
0.0,0,199,0,53,0.2103,1.0,0.0,1.0,1.0,1.0,0.2103,0.3475,0.783,0.5342
0.01,0,199,0,53,0.2103,1.0,0.0,1.0,1.0,1.0,0.2103,0.3475,0.783,0.5342
0.02,0,199,0,53,0.2103,1.0,0.0,1.0,1.0,1.0,0.2103,0.3475,0.783,0.5342
0.03,0,199,0,53,0.2103,1.0,0.0,1.0,1.0,1.0,0.2103,0.3475,0.783,0.5342
0.04,0,199,0,53,0.2103,1.0,0.0,1.0,1.0,1.0,0.2103,0.3475,0.783,0.5342
0.05,0,199,0,53,0.2103,1.0,0.0,1.0,1.0,1.0,0.2103,0.3475,0.783,0.5342
0.06,1,198,0,53,0.2143,1.0,0.005,1.0,0.995,1.0,0.2112,0.3487,0.783,0.5342
0.07,43,156,1,51,0.3745,0.9808,0.2161,0.9808,0.7839,0.9808,0.2464,0.3938,0.783,0.5342
0.08,71,128,4,48,0.4741,0.9231,0.3568,0.9231,0.6432,0.9231,0.2727,0.4211,0.783,0.5342
0.09,97,102,7,45,0.5657,0.8654,0.4874,0.8654,0.5126,0.8654,0.3061,0.4523,0.783,0.5342
0.1,106,93,7,45,0.6016,0.8654,0.5327,0.8654,0.4673,0.8654,0.3261,0.4737,0.783,0.5342
0.11,112,87,7,45,0.6255,0.8654,0.5628,0.8654,0.4372,0.8654,0.3409,0.4891,0.783,0.5342
0.12,125,74,9,43,0.6693,0.8269,0.6281,0.8269,0.3719,0.8269,0.3675,0.5089,0.783,0.5342
0.13,144,55,13,39,0.7291,0.75,0.7236,0.75,0.2764,0.75,0.4149,0.5342,0.783,0.5342
0.14,154,45,20,32,0.741,0.6154,0.7739,0.6154,0.2261,0.6154,0.4156,0.4961,0.783,0.5342
0.15,161,38,22,30,0.761,0.5769,0.809,0.5769,0.191,0.5769,0.4412,0.5,0.783,0.5342
0.16,165,34,23,29,0.7729,0.5577,0.8291,0.5577,0.1709,0.5577,0.4603,0.5043,0.783,0.5342
0.17,169,30,24,28,0.7849,0.5385,0.8492,0.5385,0.1508,0.5385,0.4828,0.5091,0.783,0.5342
0.18,169,30,25,27,0.7809,0.5192,0.8492,0.5192,0.1508,0.5192,0.4737,0.4954,0.783,0.5342
0.19,174,25,25,27,0.8008,0.5192,0.8744,0.5192,0.1256,0.5192,0.5192,0.5192,0.783,0.5342
0.2,175,24,28,24,0.7928,0.4615,0.8794,0.4615,0.1206,0.4615,0.5,0.48,0.783,0.5342
0.21,177,22,29,23,0.7968,0.4423,0.8894,0.4423,0.1106,0.4423,0.5111,0.4742,0.783,0.5342
0.22,178,20,30,22,0.8,0.4231,0.899,0.4231,0.101,0.4231,0.5238,0.4681,0.783,0.5342
0.23,180,19,34,18,0.7888,0.3462,0.9045,0.3462,0.0955,0.3462,0.4865,0.4045,0.783,0.5342
0.24,186,13,37,16,0.8016,0.3019,0.9347,0.3019,0.0653,0.3019,0.5517,0.3902,0.783,0.5342
0.25,187,12,39,13,0.7968,0.25,0.9397,0.25,0.0603,0.25,0.52,0.3377,0.783,0.5342
0.26,187,12,40,12,0.7928,0.2308,0.9397,0.2308,0.0603,0.2308,0.5,0.3158,0.783,0.5342
0.27,188,11,40,12,0.7968,0.2308,0.9447,0.2308,0.0553,0.2308,0.5217,0.32,0.783,0.5342
0.28,188,11,41,11,0.7928,0.2115,0.9447,0.2115,0.0553,0.2115,0.5,0.2973,0.783,0.5342
