Env,ROC-AUC,F-max,mode
12M(C),0.5634,0.3697,transfer
12M(C),0.6011,0.3548,transfer
12M(C),0.4953,0.2136,transfer
12M(C),0.8064,0.0385,transfer
12M(C),0.2012,0.0089,transfer
12M(C),0.5985,0.0513,transfer
12M(C),0.6114,0.1714,transfer
12M(C),0.7747,0.1538,transfer
12M(C),0.4991,0.3505,independent
12M(C),0.5008,0.3271,independent
12M(C),0.4326,0.1935,independent
12M(C),0.5219,0.0109,independent
12M(C),0.7048,0.0198,independent
12M(C),0.672,0.0508,independent
12M(C),0.4315,0.1412,independent
12M(C),0.3802,0.0553,independent
12M(V),0.419,0.0444,transfer
12M(V),0.6551,0.3529,transfer
12M(V),0.7701,0.3206,transfer
12M(V),0.8286,0.6234,transfer
12M(V),0.7919,0.5833,transfer
12M(V),0.7635,0.5271,transfer
12M(V),0.6804,0.4151,transfer
12M(V),0.7987,0.5441,transfer
12M(V),0.5077,0.0465,independent
12M(V),0.7382,0.1379,independent
12M(V),0.7304,0.2623,independent
12M(V),0.7642,0.5792,independent
12M(V),0.6227,0.4533,independent
12M(V),0.6927,0.4223,independent
12M(V),0.5325,0.3507,independent
12M(V),0.5778,0.3863,independent
3Y(C),0.7018,0.4029,transfer
3Y(C),0.744,0.4918,transfer
3Y(C),0.7977,0.3855,transfer
3Y(C),0.7769,0.0303,transfer
3Y(C),0.5359,0.0154,transfer
3Y(C),0.5899,0.0308,transfer
3Y(C),0.5856,0.1757,transfer
3Y(C),0.751,0.0822,transfer
3Y(C),0.5808,0.3351,independent
3Y(C),0.6923,0.3878,independent
3Y(C),0.7111,0.3226,independent
3Y(C),0.361,0.0102,independent
3Y(C),0.6042,0.0117,independent
3Y(C),0.454,0.0217,independent
3Y(C),0.6226,0.1818,independent
3Y(C),0.7905,0.1818,independent
3Y(V),0.72,0.0741,transfer
3Y(V),0.8329,0.087,transfer
3Y(V),0.7249,0.24,transfer
3Y(V),0.7755,0.4848,transfer
3Y(V),0.7652,0.5283,transfer
3Y(V),0.7532,0.4602,transfer
3Y(V),0.759,0.4531,transfer
3Y(V),0.7019,0.4331,transfer
3Y(V),0.6849,0.125,independent
3Y(V),0.7678,0.0594,independent
3Y(V),0.6996,0.2174,independent
3Y(V),0.7734,0.4833,independent
3Y(V),0.5677,0.4089,independent
3Y(V),0.7224,0.4526,independent
3Y(V),0.5634,0.3408,independent
3Y(V),0.6449,0.4091,independent
4M(C),0.6815,0.486,transfer
4M(C),0.8668,0.6043,transfer
4M(C),0.7629,0.5246,transfer
4M(C),1,1,transfer
4M(C),0.9382,0.1111,transfer
4M(C),0.9437,0.2222,transfer
4M(C),0.8499,0.3784,transfer
4M(C),0.8699,0.1429,transfer
4M(C),0.6183,0.4352,independent
4M(C),0.7401,0.5682,independent
4M(C),0.7164,0.4,independent
4M(C),0.992,0.5,independent
4M(C),0.8446,0.0488,independent
4M(C),0.8335,0.1,independent
4M(C),0.807,0.4,independent
4M(C),0.8462,0.1667,independent
4M(V),0.8478,0.2,transfer
4M(V),0.8372,0.1579,transfer
4M(V),0.8153,0.3922,transfer
4M(V),0.7907,0.6065,transfer
4M(V),0.8616,0.6614,transfer
4M(V),0.8567,0.6708,transfer
4M(V),0.8433,0.5806,transfer
4M(V),0.7889,0.5778,transfer
4M(V),0.7117,0.1224,independent
4M(V),0.879,0.1231,independent
4M(V),0.6429,0.2439,independent
4M(V),0.6425,0.56,independent
4M(V),0.75,0.5899,independent
4M(V),0.6962,0.5496,independent
4M(V),0.7584,0.4773,independent
4M(V),0.783,0.5342,independent
5Y(C),0.7042,0.3958,transfer
5Y(C),0.8332,0.5455,transfer
5Y(C),0.7839,0.3364,transfer
5Y(C),0.7769,0.0333,transfer
5Y(C),0.512,0.0153,transfer
5Y(C),0.988,0.4,transfer
5Y(C),0.8172,0.2667,transfer
