sample_accession	run_accession	sample_alias
SAMEA7000546	ERR4281016	1001-12M
SAMEA7000547	ERR4281017	1001-3Y
SAMEA7000548	ERR4281018	1001-4M
SAMEA7000549	ERR4281019	1001-5Y
SAMEA7000550	ERR4281020	1001-NB
SAMEA7000551	ERR4281021	1001-M
SAMEA7000552	ERR4281022	1002-M
SAMEA7000553	ERR4281023	1003-4M
SAMEA7000554	ERR4281024	1003-M
SAMEA7000555	ERR4281025	1004-12M
SAMEA7000556	ERR4281026	1004-3Y
SAMEA7000557	ERR4281027	1004-4M
SAMEA7000558	ERR4281028	1004-5Y
SAMEA7000559	ERR4281029	1004-NB
SAMEA7000560	ERR4281030	1004-M
SAMEA7000561	ERR4281031	1005-12M
SAMEA7000562	ERR4281032	1005-3Y
SAMEA7000563	ERR4281033	1005-4M
SAMEA7000564	ERR4281034	1005-5Y
SAMEA7000565	ERR4281035	1005-NB
SAMEA7000566	ERR4281036	1005-M
SAMEA7000567	ERR4281037	1006-12M
SAMEA7000568	ERR4281038	1006-4M
SAMEA7000569	ERR4281039	1006-5Y
SAMEA7000570	ERR4281040	1006-NB
SAMEA7000571	ERR4281041	1006-M
SAMEA7000572	ERR4281042	1008-12M
SAMEA7000573	ERR4281043	1008-3Y
SAMEA7000574	ERR4281044	1008-4M
SAMEA7000575	ERR4281045	1008-5Y
SAMEA7000576	ERR4281046	1008-NB
SAMEA7000577	ERR4281047	1008-M
SAMEA7000578	ERR4281048	1009-12M
SAMEA7000579	ERR4281049	1009-4M
SAMEA7000580	ERR4281050	1009-NB
SAMEA7000581	ERR4281051	1009-M
SAMEA7000582	ERR4281052	1011-12M
SAMEA7000583	ERR4281053	1011-3Y
SAMEA7000584	ERR4281054	1011-4M
SAMEA7000585	ERR4281055	1011-5Y
SAMEA7000586	ERR4281056	1011-NB
SAMEA7000587	ERR4281057	1011-M
SAMEA7000588	ERR4281058	10-12M
SAMEA7000589	ERR4281059	1014-12M
SAMEA7000590	ERR4281060	1014-4M
SAMEA7000591	ERR4281061	1014-NB
SAMEA7000592	ERR4281062	1014-M
SAMEA7000593	ERR4281063	1017-12M
SAMEA7000594	ERR4281064	1017-3Y
SAMEA7000595	ERR4281065	1017-4M
SAMEA7000596	ERR4281066	1017-5Y
SAMEA7000597	ERR4281067	1017-NB
SAMEA7000598	ERR4281068	1017-M
SAMEA7000599	ERR4281069	1018-12M
SAMEA7000600	ERR4281070	1018-3Y
SAMEA7000601	ERR4281071	1018-5Y
SAMEA7000602	ERR4281072	102-12M
SAMEA7000603	ERR4281073	102-3Y
