,root:3Y,root:4M,root:B
ERR4281055,0.33780706,0.33824277,0.32395017
ERR4281020,0.434982,0.1428448,0.42217314
ERR4281023,0.2895862,0.36089733,0.3495165
ERR4281026,0.33780706,0.33824277,0.32395017
ERR4281071,0.08832148,0.51321846,0.39846006
ERR4281074,0.44330007,0.26952803,0.28717187
ERR4281076,0.18044274,0.38860723,0.43095005
ERR4281037,0.068640634,0.850532,0.08082741
ERR4281039,0.44330007,0.26952803,0.28717187
ERR4281042,0.32344893,0.36422592,0.31232518
ERR4281087,0.33780706,0.33824277,0.32395017
ERR4281048,0.049857784,0.56772226,0.3824199
ERR4281094,0.44330007,0.26952803,0.28717187
ERR4281097,0.06842166,0.85382265,0.077755675
ERR4281100,0.33780706,0.33824277,0.32395017
ERR4281101,0.44330007,0.26952803,0.28717187
ERR4281115,0.06961351,0.84707636,0.0833102
ERR4281120,0.44330007,0.26952803,0.28717187
ERR4281128,0.44330007,0.26952803,0.28717187
ERR4281137,0.060331833,0.70978534,0.2298828
ERR4281142,0.33780706,0.33824277,0.32395017
ERR4281149,0.44639516,0.19839929,0.35520557
ERR4281156,0.33780706,0.33824277,0.32395017
ERR4281160,0.36641183,0.13517214,0.4984161
ERR4281167,0.44330007,0.26952803,0.28717187
ERR4281170,0.44673002,0.20465498,0.34861496
ERR4281174,0.33780706,0.33824277,0.32395017
ERR4281178,0.33780706,0.33824277,0.32395017
ERR4281183,0.44330007,0.26952803,0.28717187
ERR4281186,0.055290457,0.5620795,0.38263005
ERR4281193,0.4466412,0.23686267,0.3164961
ERR4281196,0.058272302,0.5607922,0.3809355
ERR4281198,0.33780706,0.33824277,0.32395017
ERR4281203,0.07965626,0.81971246,0.100631244
ERR4281209,0.07026588,0.83928496,0.09044915
ERR4281214,0.33780706,0.33824277,0.32395017
ERR4281221,0.33780706,0.33824277,0.32395017
ERR4281227,0.33780706,0.33824277,0.32395017
ERR4281231,0.33780706,0.33824277,0.32395017
ERR4281237,0.33780706,0.33824277,0.32395017
ERR4281244,0.4079033,0.09459293,0.49750376
ERR4281252,0.44330007,0.26952803,0.28717187
ERR4281257,0.33780706,0.33824277,0.32395017
ERR4281263,0.33780706,0.33824277,0.32395017
ERR4281268,0.084392875,0.8080231,0.107584044
