,root:3Y,root:4M,root:B
ERR4281055,0.36304012,0.3012583,0.3357017
ERR4281020,0.38429984,0.19220562,0.42349452
ERR4281023,0.49137795,0.24841022,0.26021186
ERR4281026,0.48767042,0.22891502,0.28341463
ERR4281071,0.40465894,0.3360425,0.2592986
ERR4281074,0.19593947,0.44894838,0.35511214
ERR4281076,0.35163054,0.17933935,0.46903005
ERR4281037,0.25781476,0.61954254,0.122642644
ERR4281039,0.19593947,0.44894838,0.35511214
ERR4281042,0.32842827,0.5106132,0.1609585
ERR4281087,0.46195105,0.16032283,0.37772608
ERR4281048,0.47692928,0.15859324,0.3644775
ERR4281094,0.41965362,0.06490533,0.51544106
ERR4281097,0.25379696,0.6675282,0.07867482
ERR4281100,0.4458254,0.2410524,0.31312224
ERR4281101,0.19593947,0.44894838,0.35511214
ERR4281115,0.25809795,0.6404881,0.10141386
ERR4281120,0.19593947,0.44894838,0.35511214
ERR4281128,0.19593947,0.44894838,0.35511214
ERR4281137,0.3091915,0.5271709,0.1636376
ERR4281142,0.49280527,0.23374367,0.27345115
ERR4281149,0.411298,0.29453555,0.29416642
ERR4281156,0.44445208,0.21259062,0.3429573
ERR4281160,0.45543563,0.14486648,0.3996979
ERR4281167,0.41965362,0.06490533,0.51544106
ERR4281170,0.34166163,0.3965709,0.26176745
ERR4281174,0.38432577,0.14923362,0.46644062
ERR4281178,0.4290156,0.2595007,0.31148365
ERR4281183,0.49175727,0.24818602,0.26005673
ERR4281186,0.45033234,0.1461861,0.40348154
ERR4281193,0.29630437,0.3333619,0.37033376
ERR4281196,0.45393205,0.20273803,0.34332997
ERR4281198,0.43099555,0.2652309,0.30377355
ERR4281203,0.25506818,0.6872579,0.057673972
ERR4281209,0.38649294,0.38555846,0.22794862
ERR4281214,0.41916725,0.1855737,0.39525908
ERR4281221,0.44766194,0.28073782,0.27160028
ERR4281227,0.47792733,0.24009797,0.28197467
ERR4281231,0.43788707,0.29842442,0.2636885
ERR4281237,0.38595977,0.33137053,0.28266966
