,root:4M,root:B
ERR4281079,0.08779855,0.9122014
ERR4281086,0.0882646,0.9117355
ERR4281114,0.02906717,0.9709328
ERR4281143,0.0882646,0.9117355
ERR4281215,0.02906717,0.9709328
ERR4281280,0.0882646,0.9117355
ERR4281326,0.02906717,0.9709328
ERR4281347,0.02906717,0.9709328
ERR4281355,0.02906717,0.9709328
ERR4281395,0.029923573,0.97007644
ERR4281523,0.029067371,0.9709326
ERR4281594,0.02906717,0.9709328
ERR4281626,0.11923594,0.880764
ERR4281654,0.0882646,0.9117355
ERR4281672,0.0882646,0.9117355
ERR4281711,0.0882646,0.9117355
ERR4281715,0.08779855,0.9122014
ERR4281723,0.02906717,0.9709328
ERR4281727,0.057625767,0.94237417
ERR4281728,0.08779855,0.9122014
ERR4281733,0.08779855,0.9122014
ERR4281739,0.02906717,0.9709328
ERR4281744,0.02906717,0.9709328
ERR4281750,0.0882646,0.9117355
ERR4281755,0.029071558,0.97092843
ERR4281757,0.030199975,0.9698
ERR4281763,0.0882646,0.9117355
ERR4281769,0.02906717,0.9709328
ERR4281775,0.08779855,0.9122014
ERR4281780,0.08779855,0.9122014
ERR4281787,0.029076776,0.97092324
ERR4281792,0.08821682,0.9117832
ERR4281793,0.09426723,0.90573275
ERR4281797,0.08779855,0.9122014
ERR4281805,0.08779865,0.91220134
ERR4281811,0.08779855,0.9122014
ERR4281819,0.0882646,0.9117355
ERR4281820,0.08779855,0.9122014
ERR4281825,0.08823259,0.91176736
ERR4281836,0.068965174,0.9310348
ERR4281844,0.08779855,0.9122014
ERR4281850,0.02906717,0.9709328
ERR4281851,0.029102195,0.97089785
ERR4281857,0.08779855,0.9122014
ERR4281859,0.0882646,0.9117355
ERR4281865,0.02906717,0.9709328
ERR4281871,0.0882646,0.9117355
ERR4281875,0.030309351,0.9696907
ERR4281876,0.0882646,0.9117355
ERR4281882,0.02906717,0.9709328
ERR4281888,0.02906717,0.9709328
ERR4281899,0.0882646,0.9117355
ERR4281904,0.029071223,0.9709288
ERR4281909,0.02906717,0.9709328
ERR4281911,0.02906717,0.9709328
ERR4281921,0.03317652,0.96682346
ERR4281924,0.0882646,0.9117355
ERR4281927,0.029067183,0.9709328
ERR4281932,0.17251305,0.827487
ERR4281936,0.08779855,0.9122014
ERR4281939,0.02906717,0.9709328
ERR4281943,0.08826454,0.9117355
ERR4281944,0.08779855,0.9122014
ERR4281950,0.02906717,0.9709328
ERR4281957,0.02906717,0.9709328
