,root:3Y,root:4M,root:B
ERR4281079,0.44330007,0.26952803,0.28717187
ERR4281086,0.3384475,0.3028469,0.3587056
ERR4281114,0.12490935,0.49522427,0.37986633
ERR4281143,0.44330007,0.26952803,0.28717187
ERR4281215,0.068838686,0.85118,0.07998132
ERR4281280,0.33780706,0.33824277,0.32395017
ERR4281326,0.0600384,0.7048561,0.23510551
ERR4281347,0.07150969,0.84659404,0.081896275
ERR4281355,0.37681434,0.06496702,0.5582187
ERR4281395,0.33780706,0.33824277,0.32395017
ERR4281523,0.33363587,0.17872176,0.4876424
ERR4281594,0.44330007,0.26952803,0.28717187
ERR4281626,0.33780706,0.33824277,0.32395017
ERR4281654,0.41608587,0.1441018,0.4398123
ERR4281672,0.33780706,0.33824277,0.32395017
ERR4281711,0.33780706,0.33824277,0.32395017
ERR4281715,0.44330007,0.26952803,0.28717187
ERR4281723,0.07691712,0.82817227,0.094910696
ERR4281727,0.33780706,0.33824277,0.32395017
ERR4281728,0.33780706,0.33824277,0.32395017
ERR4281733,0.33780706,0.33824277,0.32395017
ERR4281739,0.12566614,0.8111878,0.06314611
ERR4281744,0.07133006,0.84548116,0.08318875
ERR4281750,0.33780706,0.33824277,0.32395017
ERR4281755,0.33780706,0.33824277,0.32395017
ERR4281757,0.44330007,0.26952803,0.28717187
ERR4281763,0.33780706,0.33824277,0.32395017
ERR4281769,0.33780706,0.33824277,0.32395017
ERR4281775,0.44330007,0.26952803,0.28717187
ERR4281780,0.08390711,0.88668823,0.029404694
ERR4281787,0.33780706,0.33824277,0.3239502
ERR4281792,0.33780706,0.33824277,0.3239502
ERR4281793,0.33780706,0.33824277,0.32395017
ERR4281797,0.33780706,0.33824277,0.32395017
ERR4281805,0.33780706,0.33824277,0.32395017
ERR4281811,0.33780706,0.33824277,0.32395017
ERR4281819,0.31061488,0.3877393,0.30164582
ERR4281820,0.07772162,0.82219803,0.10008032
ERR4281825,0.33780706,0.33824277,0.32395017
ERR4281836,0.33780706,0.33824277,0.32395017
ERR4281844,0.33780706,0.33824277,0.32395017
ERR4281850,0.33780706,0.33824277,0.32395017
ERR4281851,0.33780706,0.33824277,0.32395017
ERR4281857,0.33780706,0.33824277,0.32395017
ERR4281859,0.33780706,0.33824277,0.32395017
ERR4281865,0.33780706,0.33824277,0.32395017
ERR4281871,0.07913641,0.82303095,0.0978326
ERR4281875,0.33780706,0.33824277,0.32395017
ERR4281876,0.33780706,0.33824277,0.32395017
ERR4281882,0.33780706,0.33824277,0.32395017
ERR4281888,0.44627485,0.24250726,0.31121787
ERR4281899,0.33780706,0.33824277,0.32395017
ERR4281904,0.07827507,0.8962779,0.02544711
ERR4281909,0.33780706,0.33824277,0.32395017
ERR4281911,0.44431508,0.26156792,0.29411712
ERR4281921,0.33780706,0.33824277,0.32395017
ERR4281924,0.33780706,0.33824277,0.32395017
ERR4281927,0.42860126,0.17944197,0.39195672
ERR4281932,0.138385,0.65629613,0.20531891
ERR4281936,0.44714528,0.22070274,0.33215195
ERR4281939,0.439054,0.23156764,0.3293783
ERR4281943,0.33780706,0.33824277,0.32395017
ERR4281944,0.44330007,0.26952803,0.28717187
ERR4281950,0.44333366,0.26929605,0.2873703
ERR4281957,0.44330007,0.26952803,0.28717187
ERR4281958,0.44409448,0.26373565,0.29216987
ERR4281961,0.3867956,0.13419633,0.47900808
ERR4281973,0.44650942,0.2376356,0.31585494
ERR4281980,0.44423836,0.26206616,0.29369545
ERR4281984,0.33780706,0.33824277,0.32395017
ERR4281990,0.44351003,0.26806033,0.28842965
ERR4281995,0.33780706,0.33824277,0.32395017
ERR4281996,0.44330007,0.26952803,0.28717187
ERR4282002,0.44330007,0.26952803,0.28717187
ERR4282006,0.44330007,0.26952803,0.28717187
ERR4282011,0.44330007,0.26952803,0.28717187
ERR4282018,0.09654837,0.84720844,0.05624317
ERR4282023,0.33831355,0.29528713,0.36639932
ERR4282029,0.4449039,0.22468753,0.33040857
ERR4282034,0.44382042,0.26544958,0.29072994
ERR4282040,0.4433899,0.2689044,0.28770566
ERR4282044,0.14881988,0.60799485,0.24318534
ERR4282048,0.44330007,0.26952803,0.28717187
ERR4282052,0.33780706,0.33824277,0.32395017
ERR4282055,0.4433225,0.26937303,0.2873045
ERR4282058,0.33780706,0.33824277,0.32395017
ERR4282063,0.07127856,0.8458187,0.08290273
ERR4282073,0.33780706,0.33824277,0.32395017
ERR4282081,0.44334453,0.2692209,0.28743464
ERR4282088,0.44356915,0.26763377,0.288797
ERR4282093,0.44330472,0.2694961,0.2871992
ERR4282099,0.093835436,0.871158,0.03500657
ERR4282105,0.33780706,0.33824277,0.32395017
ERR4282110,0.44329113,0.2695335,0.28717536
ERR4282116,0.3609,0.13677277,0.50232714
