,root:3Y,root:4M,root:B
ERR4281079,0.49175727,0.24818602,0.26005673
ERR4281086,0.45583844,0.15927975,0.38488182
ERR4281114,0.32920673,0.27143466,0.39935857
ERR4281143,0.41965362,0.06490533,0.51544106
ERR4281215,0.25487214,0.6702571,0.0748708
ERR4281280,0.4137999,0.2924004,0.29379973
ERR4281326,0.4733364,0.21557286,0.31109077
ERR4281347,0.23886217,0.5205774,0.24056043
ERR4281355,0.39770687,0.35322088,0.24907225
ERR4281395,0.41245395,0.17047085,0.41707522
ERR4281523,0.46004093,0.13557188,0.4043872
ERR4281594,0.41965362,0.06490533,0.51544106
ERR4281626,0.43414873,0.2572918,0.30855945
ERR4281654,0.49435,0.20983465,0.29581535
ERR4281672,0.45753098,0.17046142,0.37200764
ERR4281711,0.40497604,0.32800713,0.26701686
ERR4281715,0.41965362,0.06490533,0.51544106
ERR4281723,0.25903207,0.6706543,0.07031367
ERR4281727,0.43969017,0.2660696,0.2942402
ERR4281728,0.30690098,0.54131836,0.15178066
ERR4281733,0.3395309,0.3295182,0.33095098
ERR4281739,0.33557984,0.36956984,0.29485032
ERR4281744,0.25696325,0.6489095,0.09412731
ERR4281750,0.4225721,0.33610144,0.2413265
ERR4281755,0.4654782,0.1531434,0.38137832
ERR4281757,0.49175727,0.24818602,0.26005673
ERR4281763,0.42066184,0.21321544,0.36612266
ERR4281769,0.38112116,0.35242775,0.26645106
ERR4281775,0.49175727,0.24818602,0.26005673
ERR4281780,0.24414788,0.6091746,0.14667751
ERR4281787,0.43868876,0.26271516,0.29859608
ERR4281792,0.41050512,0.2772374,0.3122575
ERR4281793,0.4372781,0.17298494,0.389737
ERR4281797,0.39231962,0.11299256,0.4946878
ERR4281805,0.4409457,0.27609986,0.28295437
ERR4281811,0.45001894,0.2697544,0.28022662
ERR4281819,0.33383158,0.5017009,0.16446763
ERR4281820,0.23627648,0.7144067,0.049316775
ERR4281825,0.4448495,0.24941054,0.3057399
ERR4281836,0.48725617,0.24880414,0.26393965
ERR4281844,0.43557,0.25567433,0.3087556
ERR4281850,0.4259132,0.2768996,0.29718715
