Unnamed: 0,Env,Contribution,mode
ERR4281055,root:4M,0.32744548,C
ERR4281020,root:4M,0.5644906,C
ERR4281023,root:4M,0.5644903,C
ERR4281026,root:4M,0.08835764,C
ERR4281071,root:4M,0.4436061,C
ERR4281074,root:4M,0.5644903,C
ERR4281076,root:4M,0.5644896,C
ERR4281037,root:4M,0.5644903,C
ERR4281039,root:4M,0.5644903,C
ERR4281042,root:4M,0.40677133,C
ERR4281087,root:4M,0.28331307,C
ERR4281048,root:4M,0.5644903,C
ERR4281094,root:4M,0.5644903,C
ERR4281097,root:4M,0.5644903,C
ERR4281100,root:4M,0.20514637,C
ERR4281101,root:4M,0.5644903,C
ERR4281115,root:4M,0.5644903,C
ERR4281120,root:4M,0.5644903,C
ERR4281128,root:4M,0.5644903,C
ERR4281137,root:4M,0.5644903,C
ERR4281142,root:4M,0.061933503,C
ERR4281149,root:4M,0.5644891,C
ERR4281156,root:4M,0.23631486,C
ERR4281160,root:4M,0.27637532,C
ERR4281167,root:4M,0.5644903,C
ERR4281170,root:4M,0.3746214,C
ERR4281174,root:4M,0.13866962,C
ERR4281178,root:4M,0.30125886,C
ERR4281183,root:4M,0.5644903,C
ERR4281186,root:4M,0.5644903,C
ERR4281193,root:4M,0.56414044,C
ERR4281196,root:4M,0.5644903,C
ERR4281198,root:4M,0.21990351,C
ERR4281203,root:4M,0.56442064,C
ERR4281209,root:4M,0.5644903,C
ERR4281214,root:4M,0.080272235,C
ERR4281221,root:4M,0.20050009,C
ERR4281227,root:4M,0.3712664,C
ERR4281231,root:4M,0.20924102,C
ERR4281237,root:4M,0.20196863,C
ERR4281244,root:4M,0.5590676,C
ERR4281252,root:4M,0.5644903,C
ERR4281257,root:4M,0.4024382,C
ERR4281263,root:4M,0.19302848,C
ERR4281268,root:4M,0.5717505,C
ERR4281272,root:4M,0.21292229,C
ERR4281279,root:4M,0.57316464,C
ERR4281283,root:4M,0.2284362,C
ERR4281290,root:4M,0.24012226,C
ERR4281295,root:4M,0.11790645,C
ERR4281299,root:4M,0.46663517,C
ERR4281305,root:4M,0.20570046,C
ERR4281311,root:4M,0.5568036,C
ERR4281319,root:4M,0.56189597,C
ERR4281325,root:4M,0.2198012,C
ERR4281334,root:4M,0.5646287,C
ERR4281335,root:4M,0.1960303,C
ERR4281340,root:4M,0.56275934,C
ERR4281349,root:4M,0.56449187,C
ERR4281354,root:4M,0.5485017,C
ERR4281361,root:4M,0.30208766,C
ERR4281367,root:4M,0.16762531,C
ERR4281374,root:4M,0.3003472,C
ERR4281387,root:4M,0.20246892,C
ERR4281394,root:4M,0.45569485,C
ERR4281402,root:4M,0.5644903,C
ERR4281409,root:4M,0.57285964,C
ERR4281416,root:4M,0.5644903,C
ERR4281423,root:4M,0.5644903,C
ERR4281429,root:4M,0.2530201,C
ERR4281435,root:4M,0.56408834,C
ERR4281439,root:4M,0.22225915,C
ERR4281444,root:4M,0.22497302,C
ERR4281450,root:4M,0.5637932,C
ERR4281456,root:4M,0.28596133,C
ERR4281462,root:4M,0.5644903,C
ERR4281468,root:4M,0.15226248,C
ERR4281474,root:4M,0.4367474,C
ERR4281487,root:4M,0.030649401,C
ERR4281495,root:4M,0.5644903,C
ERR4281500,root:4M,0.5644903,C
