,root:3Y,root:4M,root:B
ERR4281017,0.08079242,0.82577014,0.0934375
ERR4281064,0.33780706,0.33824277,0.32395017
ERR4281067,0.37770545,0.065634474,0.55666006
ERR4281027,0.06790163,0.8259527,0.10614564
ERR4281030,0.33780706,0.33824277,0.32395017
ERR4281035,0.44364724,0.26708385,0.28926885
ERR4281083,0.445523,0.25128824,0.3031888
ERR4281043,0.33780706,0.33824277,0.32395017
ERR4281046,0.44330007,0.26952803,0.28717187
ERR4281092,0.37771666,0.06564283,0.55664057
ERR4281053,0.33780706,0.33824277,0.32395017
ERR4281104,0.33780706,0.33824277,0.32395017
ERR4281118,0.33780706,0.33824277,0.32395017
ERR4281123,0.33780706,0.33824277,0.32395017
ERR4281131,0.4461093,0.19689444,0.3569963
ERR4281139,0.33780706,0.33824277,0.32395017
ERR4281152,0.14291345,0.5064438,0.35064277
ERR4281159,0.33780706,0.33824277,0.32395017
ERR4281172,0.33969197,0.15540434,0.5049037
ERR4281177,0.29152238,0.33885056,0.36962703
ERR4281181,0.33780706,0.33824277,0.32395017
ERR4281185,0.4458266,0.24803682,0.30613664
ERR4281189,0.29131502,0.42387214,0.28481278
ERR4281206,0.33780706,0.33824277,0.32395017
ERR4281212,0.33780706,0.33824277,0.32395017
ERR4281234,0.44330007,0.26952803,0.28717187
ERR4281240,0.33780706,0.33824277,0.32395017
ERR4281247,0.33780706,0.33824277,0.32395017
ERR4281260,0.08556454,0.85107434,0.06336118
ERR4281266,0.33780706,0.33824277,0.32395017
ERR4281275,0.07593752,0.83158255,0.092479974
ERR4281282,0.33780706,0.33824277,0.3239502
ERR4281286,0.30644628,0.23076035,0.46279335
ERR4281302,0.33780706,0.33824277,0.32395017
ERR4281308,0.33780706,0.33824277,0.32395017
ERR4281314,0.15890166,0.723199,0.117899396
ERR4281322,0.33780706,0.33824277,0.32395017
ERR4281329,0.44330007,0.26952803,0.28717187
ERR4281338,0.33780706,0.33824277,0.32395017
ERR4281343,0.33780706,0.33824277,0.32395017
ERR4281358,0.33780706,0.33824277,0.32395017
ERR4281364,0.33780706,0.33824277,0.32395017
ERR4281370,0.44330007,0.26952803,0.28717187
ERR4281377,0.33780706,0.33824277,0.32395017
ERR4281390,0.33780706,0.33824277,0.32395017
ERR4281398,0.44330007,0.26952803,0.28717187
ERR4281405,0.33780706,0.33824277,0.32395017
ERR4281412,0.33780706,0.33824277,0.32395017
ERR4281419,0.44330007,0.26952803,0.28717187
ERR4281426,0.44330007,0.26952803,0.28717187
ERR4281432,0.30507836,0.39799818,0.29692352
ERR4281438,0.33780706,0.33824277,0.32395017
ERR4281447,0.07730728,0.8296926,0.09300015
ERR4281453,0.33780706,0.33824277,0.32395017
ERR4281459,0.33780706,0.33824277,0.32395017
ERR4281465,0.33780706,0.33824277,0.32395017
ERR4281471,0.33780706,0.33824277,0.32395017
ERR4281476,0.33780706,0.33824277,0.32395017
ERR4281479,0.33780706,0.33824277,0.32395017
ERR4281484,0.12286742,0.8177298,0.059402846
ERR4281494,0.33780706,0.33824277,0.32395017
ERR4281498,0.07570135,0.84161896,0.082679704
ERR4281510,0.33780706,0.33824277,0.3239502
ERR4281516,0.26505804,0.47506908,0.2598729
ERR4281526,0.44611797,0.19702071,0.35686132
ERR4281534,0.08778428,0.8810681,0.031147618
ERR4281546,0.33780706,0.33824277,0.32395017
ERR4281552,0.22021338,0.5206653,0.2591213
ERR4281564,0.07441699,0.83618283,0.08940015
ERR4281573,0.33780706,0.33824277,0.32395017
ERR4281589,0.44330007,0.26952803,0.28717187
ERR4281597,0.33780706,0.33824277,0.32395017
ERR4281608,0.44330007,0.26952803,0.28717187
ERR4281617,0.13610342,0.78534174,0.07855485
ERR4281629,0.10964302,0.843968,0.046389032
ERR4281634,0.33780706,0.33824277,0.32395017
ERR4281646,0.33780706,0.33824277,0.32395017
ERR4281651,0.33780706,0.33824277,0.32395017
ERR4281659,0.4312081,0.21643096,0.35236093
ERR4281685,0.44330007,0.26952803,0.28717187
ERR4281689,0.44330007,0.26952803,0.28717187
ERR4281695,0.44330007,0.26952803,0.28717187
ERR4281920,0.43302882,0.22431874,0.3426525
ERR4282087,0.44330007,0.26952788,0.28717202
ERR4282531,0.33780706,0.33824277,0.32395017
ERR4282552,0.44367525,0.2668732,0.2894515
ERR4282558,0.33780706,0.33824277,0.32395017
ERR4282610,0.4085626,0.15113816,0.44029927
ERR4282614,0.44570872,0.24808627,0.306205
ERR4282640,0.33780706,0.33824277,0.32395017
ERR4282658,0.33780706,0.33824277,0.32395017
ERR4282684,0.33780706,0.33824277,0.32395017
ERR4282699,0.3843576,0.13397063,0.48167178
ERR4282705,0.44330007,0.26952803,0.28717187
ERR4282721,0.44330007,0.26952803,0.28717187
ERR4282747,0.44330007,0.26952803,0.28717187
ERR4282771,0.12792173,0.8059875,0.06609079
ERR4282799,0.44330007,0.26952803,0.28717187
ERR4282817,0.4435989,0.26742235,0.28897876
ERR4282848,0.33780706,0.33824277,0.32395017
ERR4282853,0.33780706,0.33824277,0.32395017
ERR4282868,0.3991721,0.2368615,0.3639664
ERR4282957,0.44335535,0.2691456,0.28749898
