,root:12M,root:3Y,root:4M,root:B
ERR4281017,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281064,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281067,0.06272017,0.28388813,0.47708556,0.1763061
ERR4281027,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281030,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281035,0.05607917,0.07772272,0.22767738,0.6385208
ERR4281083,0.06272017,0.28388813,0.47708556,0.1763061
ERR4281043,0.16656733,0.33593434,0.21845768,0.27904058
ERR4281046,0.06272017,0.28388813,0.47708556,0.1763061
ERR4281092,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281053,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281104,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281118,0.062720224,0.28388825,0.47708535,0.17630616
ERR4281123,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281131,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281139,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281152,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281159,0.06272017,0.28388813,0.47708556,0.1763061
ERR4281172,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281177,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281181,0.16649492,0.33600226,0.21858434,0.27891853
ERR4281185,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281189,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281206,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281212,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281234,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281240,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281247,0.15368596,0.21453764,0.269862,0.3619144
ERR4281260,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281266,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281275,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281282,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281286,0.056015037,0.07761092,0.2276196,0.6387544
ERR4281302,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281308,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281314,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281322,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281329,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281338,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281343,0.06272017,0.28388813,0.47708556,0.1763061
ERR4281358,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281364,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281370,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281377,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281390,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281398,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281405,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281412,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281419,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281426,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281432,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281438,0.142475,0.32621008,0.25996736,0.27134764
ERR4281447,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281453,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281459,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281465,0.16658816,0.33600035,0.21843795,0.27897358
ERR4281471,0.06272017,0.28388813,0.47708556,0.1763061
ERR4281476,0.16658816,0.33600035,0.21843795,0.27897358
