,root:3Y,root:4M,root:B
ERR4281017,0.45362815,0.28027758,0.26609427
ERR4281064,0.47565478,0.15571812,0.368627
ERR4281067,0.2566455,0.27574813,0.46760634
ERR4281027,0.26343015,0.56594396,0.17062594
ERR4281030,0.4213769,0.14391676,0.43470627
ERR4281035,0.42621595,0.14088495,0.43289912
ERR4281083,0.3981212,0.37297577,0.22890306
ERR4281043,0.4406201,0.27701163,0.2823683
ERR4281046,0.49175727,0.24818602,0.26005673
ERR4281092,0.3053994,0.22358282,0.47101784
ERR4281053,0.37170222,0.22638391,0.40191388
ERR4281104,0.4169754,0.19351296,0.38951164
ERR4281118,0.31111008,0.4665955,0.2222944
ERR4281123,0.4126073,0.07559978,0.51179284
ERR4281131,0.49435207,0.21326889,0.29237908
ERR4281139,0.45130372,0.09907484,0.44962135
ERR4281152,0.48981276,0.22782768,0.28235945
ERR4281159,0.46158752,0.22404139,0.31437114
ERR4281172,0.490611,0.22200832,0.2873807
ERR4281177,0.4913104,0.2172201,0.29146942
ERR4281181,0.43004972,0.25494897,0.3150014
ERR4281185,0.29271603,0.47340527,0.23387869
ERR4281189,0.41058135,0.23357077,0.35584787
ERR4281206,0.34637374,0.30578157,0.34784466
ERR4281212,0.40545058,0.2924389,0.3021105
ERR4281234,0.41965362,0.06490533,0.51544106
ERR4281240,0.43559882,0.26387814,0.30052304
ERR4281247,0.43842828,0.25130752,0.3102642
ERR4281260,0.22044668,0.473581,0.30597237
ERR4281266,0.3626307,0.37706995,0.26029935
ERR4281275,0.25460824,0.6781839,0.06720786
ERR4281282,0.4562841,0.15919243,0.3845234
ERR4281286,0.49274683,0.18922438,0.31802872
ERR4281302,0.41502264,0.15091695,0.4340604
ERR4281308,0.45639578,0.14678796,0.39681628
ERR4281314,0.4725035,0.21067818,0.3168183
ERR4281322,0.3863933,0.15164396,0.46196276
ERR4281329,0.49175727,0.24818602,0.26005673
ERR4281338,0.4125868,0.28702745,0.30038565
ERR4281343,0.4198339,0.14109476,0.4390714
ERR4281358,0.434468,0.1719982,0.39353377
ERR4281364,0.44857883,0.1863956,0.36502558
ERR4281370,0.41965362,0.06490533,0.51544106
ERR4281377,0.4086586,0.16130713,0.43003428
ERR4281390,0.38918692,0.15764396,0.45316917
ERR4281398,0.41965362,0.06490533,0.51544106
ERR4281405,0.44940358,0.2372281,0.3133683
ERR4281412,0.30802026,0.46863067,0.2233491
ERR4281419,0.41965362,0.06490533,0.51544106
ERR4281426,0.49175727,0.24818602,0.26005673
ERR4281432,0.39944512,0.29080826,0.3097466
ERR4281438,0.427764,0.26925352,0.30298245
ERR4281447,0.27487138,0.6042155,0.1209131
ERR4281453,0.43252885,0.14132285,0.4261483
ERR4281459,0.44486398,0.14243405,0.41270202
ERR4281465,0.42288342,0.29493985,0.2821768
ERR4281471,0.39692083,0.15433045,0.44874877
ERR4281476,0.38818276,0.3241532,0.28766403
ERR4281479,0.45252228,0.22266383,0.32481396
ERR4281484,0.40120465,0.27504465,0.3237508
ERR4281494,0.4536967,0.14457218,0.4017311
ERR4281498,0.4262183,0.2612234,0.31255823
ERR4281510,0.24614832,0.69006145,0.063790224
ERR4281516,0.4541087,0.27241594,0.27347544
ERR4281526,0.35057756,0.18110569,0.46831676
ERR4281534,0.25022262,0.59094226,0.15883517
ERR4281546,0.26170605,0.5083812,0.22991273
ERR4281552,0.4809042,0.19418833,0.3249075
ERR4281564,0.46851712,0.18558373,0.34589913
ERR4281573,0.45081908,0.236452,0.31272894
ERR4281589,0.41965362,0.06490533,0.51544106
ERR4281597,0.42307514,0.2967889,0.2801359
ERR4281608,0.40207562,0.33360276,0.26432166
ERR4281617,0.38451886,0.32175702,0.29372406
ERR4281629,0.2885858,0.4577684,0.2536458
ERR4281634,0.42433545,0.2541071,0.32155746
ERR4281646,0.321904,0.4655542,0.2125418
ERR4281651,0.3830639,0.42515084,0.19178522
ERR4281659,0.48924914,0.24808164,0.2626693
ERR4281685,0.41965362,0.06490533,0.51544106
ERR4281689,0.24976233,0.6648006,0.08543705
ERR4281695,0.41965362,0.06490533,0.51544106
ERR4281920,0.49175727,0.24818602,0.26005673
ERR4282087,0.49175727,0.24818602,0.26005673
ERR4282531,0.26262018,0.57068753,0.1666923
ERR4282552,0.49175727,0.24818602,0.26005673
ERR4282558,0.491979,0.24641934,0.26160166
ERR4282610,0.4369418,0.17670992,0.38634822
ERR4282614,0.49175727,0.24818602,0.26005673
ERR4282640,0.49175277,0.24818866,0.26005852
ERR4282658,0.32811427,0.38215452,0.2897312
ERR4282684,0.49174172,0.24819523,0.26006302
ERR4282699,0.26256487,0.5680075,0.16942766
ERR4282705,0.49175727,0.24818602,0.26005673
ERR4282721,0.41965362,0.06490533,0.51544106
ERR4282747,0.41965362,0.06490533,0.51544106
ERR4282771,0.4931183,0.2323548,0.27452686
ERR4282799,0.41965362,0.06490533,0.51544106
ERR4282817,0.49175727,0.24818602,0.26005673
ERR4282848,0.44684577,0.21441501,0.3387392
ERR4282853,0.4469866,0.22816534,0.3248481
ERR4282868,0.49175727,0.24818602,0.26005673
ERR4282957,0.49175727,0.24818602,0.26005673
