,root:12M,root:3Y,root:4M,root:B
ERR4281051,0.6392527,0.07211268,0.25929335,0.02934135
ERR4281134,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281155,0.2906841,0.02618406,0.57795936,0.10517242
ERR4281166,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281381,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281408,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281542,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281612,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281664,0.6392527,0.07211268,0.25929335,0.02934135
ERR4281710,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281718,0.6861057,0.08561432,0.16520883,0.06307113
ERR4281735,0.20751886,0.055731677,0.10005458,0.6366949
ERR4281741,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281747,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281760,0.2075146,0.055729534,0.10006603,0.63668984
ERR4281766,0.2906841,0.02618406,0.57795936,0.10517242
ERR4281772,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281778,0.2906841,0.02618406,0.57795936,0.10517242
ERR4281786,0.3876612,0.10709493,0.46269292,0.04255101
ERR4281790,0.6392527,0.07211268,0.25929335,0.02934135
ERR4281800,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281808,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281810,0.20751886,0.055731677,0.10005458,0.6366949
ERR4281814,0.20751886,0.055731677,0.10005458,0.6366949
ERR4281823,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281833,0.2906841,0.02618406,0.57795936,0.10517242
ERR4281835,0.2906841,0.02618406,0.57795936,0.10517242
ERR4281839,0.6392806,0.07210687,0.2592736,0.029338872
ERR4281847,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281854,0.6392527,0.07211268,0.25929335,0.02934135
ERR4281873,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281879,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281885,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281892,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281902,0.55183554,0.0770296,0.3411301,0.03000478
ERR4281906,0.20751886,0.055731677,0.10005458,0.6366949
ERR4281914,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281930,0.22972876,0.06901643,0.28435636,0.4168985
ERR4281935,0.20751886,0.055731677,0.10005458,0.6366949
