,root:3Y,root:4M,root:B
ERR4281051,0.49175727,0.24818602,0.26005673
ERR4281134,0.4686217,0.15380567,0.37757263
ERR4281155,0.41432968,0.40313888,0.18253149
ERR4281166,0.43854874,0.2510036,0.3104476
ERR4281381,0.43205696,0.25831866,0.30962434
ERR4281408,0.4503489,0.22632903,0.323322
ERR4281542,0.3880891,0.24474616,0.36716473
ERR4281612,0.47677547,0.21814252,0.30508202
ERR4281664,0.40375024,0.24638604,0.34986374
ERR4281710,0.43877456,0.26836547,0.2928599
ERR4281718,0.41965362,0.06490533,0.51544106
ERR4281735,0.29219663,0.4754488,0.23235457
ERR4281741,0.45842716,0.14732254,0.39425027
ERR4281747,0.24545546,0.6080456,0.14649902
ERR4281760,0.41023088,0.16470173,0.42506748
ERR4281766,0.45406297,0.16902657,0.3769104
ERR4281772,0.38797116,0.32155576,0.29047307
ERR4281778,0.49194276,0.23923473,0.26882258
ERR4281786,0.42660978,0.344452,0.2289382
ERR4281790,0.40842992,0.33735883,0.2542113
ERR4281800,0.3364661,0.4008258,0.26270813
ERR4281808,0.45154685,0.2158086,0.33264464
ERR4281810,0.3249774,0.4794863,0.19553627
ERR4281814,0.3977643,0.20669347,0.39554223
ERR4281823,0.4708234,0.12134831,0.40782833
ERR4281833,0.49234694,0.24349436,0.2641587
ERR4281835,0.4392623,0.16488978,0.3958479
ERR4281839,0.41435602,0.2190519,0.36659205
ERR4281847,0.44362602,0.27017108,0.28620285
ERR4281854,0.44553474,0.2674318,0.28703344
ERR4281873,0.41965362,0.06490533,0.51544106
ERR4281879,0.41965362,0.06490533,0.51544106
ERR4281885,0.2743069,0.64623624,0.07945689
ERR4281892,0.34787804,0.36238715,0.28973484
ERR4281902,0.41965362,0.06490533,0.51544106
ERR4281906,0.49175727,0.24818602,0.26005673
ERR4281914,0.49175727,0.24818602,0.26005673
ERR4281930,0.49175727,0.24818602,0.26005673
ERR4281935,0.49175727,0.24818602,0.26005673
ERR4281947,0.4871642,0.250686,0.2621498
ERR4281953,0.49175727,0.24818602,0.26005673
ERR4281960,0.24675113,0.63930833,0.11394051
ERR4281964,0.49161842,0.248254,0.2601276
ERR4281968,0.49175727,0.24818602,0.26005673
ERR4281972,0.49175727,0.24818602,0.26005673
ERR4281976,0.49175727,0.24818602,0.26005673
ERR4281987,0.4582066,0.21930684,0.32248655
ERR4281993,0.49175727,0.24818602,0.26005673
ERR4281999,0.49175727,0.24818602,0.26005673
ERR4282009,0.49175727,0.24818602,0.26005673
ERR4282016,0.479289,0.2534036,0.26730737
ERR4282021,0.48914078,0.24972497,0.26113424
ERR4282026,0.3117221,0.43445665,0.25382122
ERR4282032,0.4909537,0.24846369,0.2605826
ERR4282037,0.43722567,0.25369725,0.30907717
ERR4282054,0.4912361,0.2483923,0.26037166
ERR4282061,0.49175727,0.24818602,0.26005673
ERR4282066,0.49175727,0.24818602,0.26005673
ERR4282070,0.29167262,0.46303067,0.24529676
ERR4282076,0.43894935,0.14942066,0.41163006
ERR4282084,0.49175727,0.24818602,0.26005673
ERR4282091,0.49162826,0.24826251,0.26010928
ERR4282102,0.45151293,0.2723997,0.27608737
ERR4282108,0.4917985,0.24787089,0.2603306
ERR4282113,0.49175727,0.24818602,0.26005673
ERR4282119,0.49174285,0.24819455,0.26006255
ERR4282125,0.49163967,0.2482376,0.2601227
ERR4282147,0.49175727,0.24818602,0.26005673
ERR4282152,0.49175727,0.24818602,0.26005673
ERR4282155,0.49175727,0.24818602,0.26005673
ERR4282159,0.49175727,0.24818602,0.26005673
ERR4282165,0.49175727,0.24818602,0.26005673
ERR4282169,0.33688724,0.3674017,0.29571107
ERR4282174,0.49174684,0.24819222,0.26006094
ERR4282179,0.49175727,0.24818602,0.26005673
ERR4282186,0.25850907,0.58123034,0.16026057
ERR4282190,0.19593947,0.44894838,0.35511214
ERR4282196,0.49175727,0.24818602,0.26005673
ERR4282199,0.49334085,0.22579533,0.28086382
ERR4282203,0.4836748,0.25011352,0.26621163
ERR4282213,0.49175727,0.24818602,0.26005673
