Unnamed: 0,Env,Contribution,mode
ERR4281017,root:12M,0.75466746,C
ERR4281064,root:12M,0.6328772,C
ERR4281067,root:12M,0.107010216,C
ERR4281027,root:12M,0.5614437,C
ERR4281030,root:12M,0.6262181,C
ERR4281035,root:12M,0.45200974,C
ERR4281083,root:12M,0.2645944,C
ERR4281043,root:12M,0.79304916,C
ERR4281046,root:12M,0.75838983,C
ERR4281092,root:12M,0.10810199,C
ERR4281053,root:12M,0.81141955,C
ERR4281104,root:12M,0.7756246,C
ERR4281118,root:12M,0.7802816,C
ERR4281123,root:12M,0.5704607,C
ERR4281131,root:12M,0.33243117,C
ERR4281139,root:12M,0.6684501,C
ERR4281152,root:12M,0.7591002,C
ERR4281159,root:12M,0.80748373,C
ERR4281172,root:12M,0.638042,C
ERR4281177,root:12M,0.75678086,C
ERR4281181,root:12M,0.83799714,C
ERR4281185,root:12M,0.48886132,C
ERR4281189,root:12M,0.6873088,C
ERR4281206,root:12M,0.7046421,C
ERR4281212,root:12M,0.8115806,C
ERR4281234,root:12M,0.6709844,C
ERR4281240,root:12M,0.78015584,C
ERR4281247,root:12M,0.8473461,C
ERR4281260,root:12M,0.54167974,C
ERR4281266,root:12M,0.52054924,C
ERR4281275,root:12M,0.6599177,C
ERR4281282,root:12M,0.72830904,C
ERR4281286,root:12M,0.43478328,C
ERR4281302,root:12M,0.83575106,C
ERR4281308,root:12M,0.7164846,C
ERR4281314,root:12M,0.4244201,C
ERR4281322,root:12M,0.8104788,C
ERR4281329,root:12M,0.61152893,C
ERR4281338,root:12M,0.7646149,C
ERR4281343,root:12M,0.823003,C
ERR4281358,root:12M,0.79817283,C
ERR4281364,root:12M,0.5376784,C
ERR4281370,root:12M,0.72399336,C
ERR4281377,root:12M,0.8371793,C
ERR4281390,root:12M,0.7131092,C
ERR4281398,root:12M,0.6336491,C
ERR4281405,root:12M,0.8324709,C
ERR4281412,root:12M,0.7742214,C
ERR4281419,root:12M,0.75838983,C
ERR4281426,root:12M,0.61152893,C
ERR4281432,root:12M,0.6717779,C
ERR4281438,root:12M,0.8427567,C
ERR4281447,root:12M,0.64645106,C
ERR4281453,root:12M,0.64719564,C
ERR4281459,root:12M,0.70693624,C
ERR4281465,root:12M,0.79058254,C
ERR4281471,root:12M,0.74619555,C
ERR4281476,root:12M,0.8166246,C
ERR4281479,root:12M,0.7888482,C
ERR4281484,root:12M,0.8050679,C
ERR4281494,root:12M,0.62601495,C
ERR4281498,root:12M,0.45047754,C
ERR4281510,root:12M,0.81707656,C
ERR4281516,root:12M,0.6327354,C
ERR4281526,root:12M,0.56888527,C
ERR4281534,root:12M,0.4527881,C
ERR4281546,root:12M,0.68576247,C
ERR4281552,root:12M,0.31452918,C
ERR4281564,root:12M,0.47919443,C
ERR4281573,root:12M,0.79759413,C
ERR4281589,root:12M,0.7965134,C
ERR4281597,root:12M,0.83720213,C
ERR4281608,root:12M,0.75838983,C
ERR4281617,root:12M,0.50480443,C
ERR4281629,root:12M,0.47425508,C
ERR4281634,root:12M,0.7864325,C
ERR4281646,root:12M,0.8351966,C
ERR4281651,root:12M,0.7446686,C
ERR4281659,root:12M,0.59357744,C
ERR4281685,root:12M,0.78477395,C
ERR4281689,root:12M,0.75838983,C
ERR4281695,root:12M,0.4643701,C
ERR4281920,root:12M,0.81201005,C
ERR4282087,root:12M,0.8062281,C
ERR4282531,root:12M,0.83926624,C
ERR4282552,root:12M,0.8429269,C
ERR4282558,root:12M,0.8354578,C
ERR4282610,root:12M,0.4676917,C
