Unnamed: 0,Env,Contribution,mode
ERR4281017,root:12M,0.16658816,C
ERR4281064,root:12M,0.16658816,C
ERR4281067,root:12M,0.06272017,C
ERR4281027,root:12M,0.16658816,C
ERR4281030,root:12M,0.16658816,C
ERR4281035,root:12M,0.05607917,C
ERR4281083,root:12M,0.06272017,C
ERR4281043,root:12M,0.16656733,C
ERR4281046,root:12M,0.06272017,C
ERR4281092,root:12M,0.16658816,C
ERR4281053,root:12M,0.16658816,C
ERR4281104,root:12M,0.16658816,C
ERR4281118,root:12M,0.062720224,C
ERR4281123,root:12M,0.16658816,C
ERR4281131,root:12M,0.16658816,C
ERR4281139,root:12M,0.16658816,C
ERR4281152,root:12M,0.16658816,C
ERR4281159,root:12M,0.06272017,C
ERR4281172,root:12M,0.16658816,C
ERR4281177,root:12M,0.16658816,C
ERR4281181,root:12M,0.16649492,C
ERR4281185,root:12M,0.16658816,C
ERR4281189,root:12M,0.16658816,C
ERR4281206,root:12M,0.16658816,C
ERR4281212,root:12M,0.16658816,C
ERR4281234,root:12M,0.16658816,C
ERR4281240,root:12M,0.16658816,C
ERR4281247,root:12M,0.15368596,C
ERR4281260,root:12M,0.16658816,C
ERR4281266,root:12M,0.16658816,C
ERR4281275,root:12M,0.16658816,C
ERR4281282,root:12M,0.16658816,C
ERR4281286,root:12M,0.056015037,C
ERR4281302,root:12M,0.16658816,C
ERR4281308,root:12M,0.16658816,C
ERR4281314,root:12M,0.16658816,C
ERR4281322,root:12M,0.16658816,C
ERR4281329,root:12M,0.16658816,C
ERR4281338,root:12M,0.16658816,C
ERR4281343,root:12M,0.06272017,C
ERR4281358,root:12M,0.16658816,C
ERR4281364,root:12M,0.16658816,C
ERR4281370,root:12M,0.16658816,C
ERR4281377,root:12M,0.16658816,C
ERR4281390,root:12M,0.16658816,C
ERR4281398,root:12M,0.16658816,C
ERR4281405,root:12M,0.16658816,C
ERR4281412,root:12M,0.16658816,C
ERR4281419,root:12M,0.16658816,C
ERR4281426,root:12M,0.16658816,C
ERR4281432,root:12M,0.16658816,C
ERR4281438,root:12M,0.142475,C
ERR4281447,root:12M,0.16658816,C
ERR4281453,root:12M,0.16658816,C
ERR4281459,root:12M,0.16658816,C
ERR4281465,root:12M,0.16658816,C
ERR4281471,root:12M,0.06272017,C
ERR4281476,root:12M,0.16658816,C
ERR4281479,root:12M,0.16658816,C
ERR4281484,root:12M,0.16658816,C
ERR4281494,root:12M,0.16658816,C
ERR4281498,root:12M,0.16658816,C
ERR4281510,root:12M,0.16658816,C
ERR4281516,root:12M,0.14474991,C
ERR4281526,root:12M,0.06272017,C
ERR4281534,root:12M,0.056015037,C
ERR4281546,root:12M,0.16658816,C
ERR4281552,root:12M,0.06272017,C
ERR4281564,root:12M,0.16658816,C
ERR4281573,root:12M,0.16646199,C
ERR4281589,root:12M,0.056015037,C
ERR4281597,root:12M,0.16658816,C
ERR4281608,root:12M,0.16658816,C
ERR4281617,root:12M,0.16658816,C
ERR4281629,root:12M,0.16658816,C
ERR4281634,root:12M,0.16658816,C
ERR4281646,root:12M,0.16658816,C
ERR4281651,root:12M,0.16658816,C
ERR4281659,root:12M,0.16658816,C
ERR4281685,root:12M,0.16658816,C
ERR4281689,root:12M,0.16658816,C
