SampleID,Env
ERR4281016,3Y
ERR4281054,4M
ERR4281061,B
ERR4281019,4M
ERR4281063,3Y
ERR4281021,4M
ERR4281022,B
ERR4281066,3Y
ERR4281024,4M
ERR4281025,B
ERR4281069,4M
ERR4281070,B
ERR4281029,3Y
ERR4281072,4M
ERR4281073,B
ERR4281032,4M
ERR4281075,B
ERR4281034,3Y
ERR4281077,4M
ERR4281078,B
ERR4281080,4M
ERR4281038,B
ERR4281082,3Y
ERR4281040,4M
ERR4281041,B
ERR4281085,3Y
ERR4281045,3Y
ERR4281088,4M
ERR4281089,B
ERR4281091,3Y
ERR4281049,4M
ERR4281050,B
ERR4281052,3Y
ERR4281095,4M
ERR4281056,B
ERR4281058,3Y
ERR4281059,4M
ERR4281098,B
ERR4281102,3Y
ERR4281103,4M
ERR4281105,B
ERR4281107,3Y
ERR4281108,4M
ERR4281109,3Y
ERR4281110,4M
ERR4281111,B
ERR4281116,3Y
ERR4281117,4M
ERR4281121,3Y
ERR4281122,4M
ERR4281124,B
ERR4281129,3Y
ERR4281130,4M
ERR4281132,B
ERR4281135,4M
ERR4281138,4M
ERR4281140,B
ERR4281144,3Y
ERR4281145,4M
ERR4281146,B
ERR4281150,3Y
ERR4281151,4M
ERR4281157,3Y
ERR4281158,4M
ERR4281161,4M
ERR4281162,B
ERR4281168,4M
ERR4281169,B
ERR4281171,3Y
ERR4281175,3Y
ERR4281176,4M
ERR4281179,3Y
ERR4281180,4M
ERR4281184,3Y
ERR4281187,3Y
ERR4281188,4M
ERR4281190,B
ERR4281192,B
ERR4281194,4M
ERR4281195,B
ERR4281197,B
ERR4281199,3Y
ERR4281200,4M
ERR4281201,B
ERR4281204,3Y
ERR4281205,4M
ERR4281207,B
ERR4281210,3Y
ERR4281211,4M
ERR4281213,B
ERR4281216,4M
ERR4281217,B
ERR4281219,4M
ERR4281220,B
ERR4281222,3Y
ERR4281223,4M
ERR4281224,B
ERR4281228,3Y
ERR4281229,4M
ERR4281232,3Y
ERR4281233,4M
ERR4281235,B
ERR4281238,3Y
ERR4281239,4M
ERR4281241,B
ERR4281245,3Y
ERR4281246,4M
ERR4281249,4M
ERR4281253,3Y
ERR4281254,4M
ERR4281255,B
ERR4281258,3Y
ERR4281259,4M
ERR4281261,B
ERR4281264,3Y
ERR4281265,4M
ERR4281267,B
ERR4281269,4M
ERR4281270,B
ERR4281273,3Y
ERR4281274,4M
ERR4281276,B
ERR4281278,4M
ERR4281281,3Y
ERR4281284,3Y
ERR4281285,4M
ERR4281287,B
ERR4281291,3Y
ERR4281292,4M
ERR4281293,B
ERR4281296,4M
ERR4281297,B
ERR4281300,3Y
ERR4281301,4M
ERR4281303,B
ERR4281306,3Y
ERR4281307,4M
ERR4281309,B
ERR4281312,3Y
ERR4281313,4M
ERR4281315,B
ERR4281320,3Y
ERR4281321,4M
ERR4281323,B
ERR4281327,3Y
ERR4281328,4M
ERR4281330,B
ERR4281336,3Y
ERR4281337,4M
ERR4281341,3Y
ERR4281342,4M
ERR4281344,B
ERR4281350,3Y
ERR4281351,4M
ERR4281352,B
ERR4281356,3Y
ERR4281357,4M
ERR4281359,B
ERR4281362,3Y
ERR4281363,4M
ERR4281365,B
ERR4281368,3Y
ERR4281369,4M
ERR4281371,B
ERR4281375,3Y
ERR4281376,4M
ERR4281378,B
ERR4281382,4M
ERR4281383,3Y
ERR4281384,4M
ERR4281385,B
ERR4281388,3Y
ERR4281389,4M
ERR4281391,B
ERR4281396,3Y
ERR4281397,4M
ERR4281399,B
ERR4281403,3Y
ERR4281404,4M
ERR4281406,B
ERR4281410,3Y
ERR4281411,4M
ERR4281413,B
ERR4281415,4M
ERR4281417,3Y
ERR4281418,4M
ERR4281420,B
ERR4281424,3Y
ERR4281425,4M
ERR4281427,B
ERR4281430,3Y
ERR4281431,4M
ERR4281433,B
ERR4281436,3Y
ERR4281437,4M
ERR4281440,3Y
ERR4281441,4M
ERR4281442,B
ERR4281445,3Y
ERR4281446,4M
ERR4281448,B
ERR4281451,3Y
ERR4281452,4M
ERR4281454,B
ERR4281457,3Y
ERR4281458,4M
ERR4281460,B
ERR4281463,3Y
ERR4281464,4M
ERR4281466,B
ERR4281469,3Y
ERR4281470,4M
ERR4281472,B
ERR4281475,4M
ERR4281477,3Y
ERR4281478,4M
ERR4281480,B
ERR4281482,3Y
ERR4281483,4M
ERR4281485,B
ERR4281488,3Y
ERR4281489,4M
ERR4281490,B
ERR4281492,3Y
ERR4281493,4M
ERR4281496,3Y
ERR4281497,4M
ERR4281501,4M
ERR4281503,3Y
ERR4281504,4M
ERR4281505,B
ERR4281508,3Y
ERR4281509,4M
ERR4281511,B
