SampleID,Env
ERR4281044,root:3Y
ERR4281047,root:4M
ERR4281113,root:3Y
ERR4281126,root:3Y
ERR4281127,root:4M
ERR4281136,root:4M
ERR4281148,root:3Y
ERR4281153,root:4M
ERR4281164,root:B
ERR4281226,root:4M
ERR4281250,root:B
ERR4281289,root:4M
ERR4281317,root:B
ERR4281332,root:3Y
ERR4281333,root:4M
ERR4281373,root:3Y
ERR4281379,root:4M
ERR4281400,root:3Y
ERR4281401,root:4M
ERR4281537,root:3Y
ERR4281538,root:4M
ERR4281579,root:3Y
ERR4281583,root:4M
ERR4281604,root:3Y
ERR4281610,root:4M
ERR4281662,root:3Y
ERR4281663,root:4M
ERR4281677,root:3Y
ERR4281680,root:4M
ERR4281704,root:3Y
ERR4281709,root:4M
ERR4281712,root:4M
ERR4281713,root:B
ERR4281716,root:3Y
ERR4281717,root:4M
ERR4281719,root:B
ERR4281721,root:B
ERR4281724,root:3Y
ERR4281725,root:4M
ERR4281729,root:3Y
ERR4281730,root:4M
ERR4281731,root:B
ERR4281734,root:4M
ERR4281736,root:B
ERR4281738,root:4M
ERR4281740,root:4M
ERR4281742,root:B
ERR4281745,root:3Y
ERR4281746,root:4M
ERR4281748,root:B
ERR4281751,root:4M
ERR4281754,root:3Y
ERR4281756,root:3Y
ERR4281758,root:3Y
ERR4281759,root:4M
ERR4281761,root:B
ERR4281764,root:3Y
ERR4281765,root:4M
ERR4281768,root:4M
ERR4281770,root:3Y
ERR4281771,root:4M
ERR4281773,root:B
ERR4281776,root:3Y
ERR4281777,root:4M
ERR4281781,root:3Y
ERR4281782,root:4M
ERR4281784,root:4M
ERR4281785,root:B
ERR4281788,root:3Y
ERR4281789,root:4M
ERR4281794,root:3Y
ERR4281795,root:4M
ERR4281798,root:3Y
ERR4281799,root:4M
ERR4281801,root:B
ERR4281803,root:3Y
ERR4281804,root:4M
ERR4281806,root:3Y
ERR4281807,root:4M
ERR4281812,root:3Y
ERR4281813,root:4M
ERR4281815,root:B
ERR4281817,root:B
ERR4281821,root:3Y
ERR4281822,root:4M
ERR4281826,root:4M
ERR4281827,root:B
ERR4281829,root:3Y
ERR4281830,root:4M
ERR4281831,root:3Y
ERR4281832,root:4M
ERR4281837,root:3Y
ERR4281838,root:4M
ERR4281840,root:B
ERR4281842,root:B
ERR4281845,root:3Y
ERR4281846,root:4M
ERR4281848,root:B
ERR4281852,root:3Y
ERR4281853,root:4M
ERR4281855,root:B
ERR4281858,root:4M
ERR4281860,root:3Y
ERR4281861,root:4M
ERR4281862,root:B
ERR4281863,root:4M
ERR4281866,root:3Y
ERR4281867,root:4M
ERR4281869,root:B
ERR4281872,root:4M
ERR4281877,root:3Y
ERR4281878,root:4M
ERR4281881,root:3Y
ERR4281883,root:3Y
ERR4281884,root:4M
ERR4281886,root:4M
ERR4281889,root:4M
ERR4281890,root:B
ERR4281893,root:4M
ERR4281894,root:B
ERR4281897,root:B
ERR4281900,root:3Y
ERR4281901,root:4M
ERR4281905,root:4M
ERR4281907,root:B
ERR4281910,root:4M
ERR4281912,root:3Y
ERR4281913,root:4M
ERR4281915,root:B
ERR4281922,root:B
ERR4281925,root:4M
